hex,count_good_aircraft,count_bad_aircraft
594493026466791423,1,0
594493069416464383,1,0
594493078006398975,1,0
594493129546006527,4,0
594493146725875711,1,0
594494950612140031,3,0
594494976381943807,3,0
594495002151747583,2,0
594495088051093503,4,0
594495096641028095,2,0
594495105230962687,4,0
594495113820897279,4,0
594495122410831871,7,0
594495131000766463,6,0
594495139590701055,7,0
594495156770570239,3,0
594495165360504831,4,0
594495182540374015,2,0
594495191130308607,4,0
594495208310177791,6,0
594495242669916159,1,0
594495362929000447,6,0
594495371518935039,2,0
594495380108869631,7,0
594495388698804223,10,0
594495397288738815,2,0
594495405878673407,1,0
594495414468607999,4,0
594496127433179135,1,0
594496359361413119,1,0
594496367951347711,1,0
594496393721151487,8,0
594496410901020671,3,0
594496419490955263,1,0
594496428080889855,16,4
594496436670824447,11,2
594496445260759039,13,0
594496496800366591,1,0
594547057155375103,1,0
594547065745309695,1,0
594547091515113471,1,0
594554358599778303,1,0
594554375779647487,1,0
594554667837423615,1,0
594554676427358207,1,0
594554685017292799,1,0
594554710787096575,1,0
594554736556900351,1,0
594554745146834943,1,0
594554753736769535,1,0
594554762326704127,1,0
594555732989313023,3,0
594555801708789759,1,0
594555810298724351,1,0
594555818888658943,1,0
594557244817801215,1,0
594557261997670399,1,0
594557760213876735,3,0
594557768803811327,3,0
594557794573615103,3,0
594558035091783679,3,0
594558043681718271,3,0
594558069451522047,3,0
594572715290001407,1,0
594587309588873215,6,0
594587326768742399,5,0
594587335358676991,2,0
594587343948611583,10,0
594587352538546175,1,0
594587361128480767,4,0
594587447027826687,10,0
594587464207695871,9,0
594587472797630463,7,0
594587481387565055,8,0
594587489977499647,4,0
594587498567434239,16,0
594587584466780159,6,0
594587593056714751,5,0
594587601646649343,8,0
594587610236583935,5,0
594587618826518527,2,0
594587627416453119,1,0
594587636006387711,13,0
594587670366126079,1,0
594587721905733631,24,0
594587730495668223,8,0
594587739085602815,14,0
594587747675537407,17,0
594587756265471999,22,0
594587764855406591,10,0
594587773445341183,13,0
594588417690435583,9,0
594588452050173951,2,0
594588494999846911,3,0
594588512179716095,1,0
594588529359585279,21,0
594588649618669567,2,0
594588726928080895,1,0
594588752697884671,18,0
594588761287819263,5,0
594588769877753855,2,0
594588778467688447,22,0
594588787057623039,13,0
594588795647557631,10,0
594588804237492223,2,0
594602908910092287,5,0
594602917500026879,36,0
594602926089961471,5,0
594602934679896063,10,0
594602951859765247,6,0
594603389946429439,9,0
594603407126298623,3,0
594603415716233215,13,0
594603424306167807,3,0
594603432896102399,7,0
594603441486036991,2,0
594603664824336383,5,0
594603673414270975,1,0
594603682004205567,34,0
594603690594140159,5,0
594603707774009343,1,0
594603716363943935,14,0
594604352019103743,7,0
594604360609038335,12,0
594604369198972927,2,0
594604377788907519,6,0
594604386378842111,4,0
594604394968776703,13,0
594604420738580479,16,0
594604429328515071,18,0
594604437918449663,14,0
594604446508384255,16,0
594604455098318847,11,0
594604463688253439,8,0
594604472278188031,21,0
594604498047991807,2,0
594604532407730175,2,0
594604558177533951,4,0
594604566767468543,13,0
594604575357403135,4,0
594604583947337727,3,0
594604592537272319,10,0
594604601127206911,12,0
594604609717141503,8,0
594604635486945279,4,0
594604669846683647,5,0
594604695616487423,57,0
594604704206422015,9,0
594604712796356607,13,0
594604721386291199,26,0
594604729976225791,56,0
594604738566160383,24,0
594604747156094975,18,0
594615896891195391,6,0
594615914071064575,4,0
594615922660999167,7,0
594615939840868351,4,0
594615948430802943,3,0
594616034330148863,26,0
594616042920083455,40,0
594616051510018047,50,0
594616060099952639,37,0
594616068689887231,11,0
594616077279821823,17,0
594616085869756415,21,0
594616103049625599,26,0
594616111639560191,32,0
594616120229494783,55,0
594616128819429375,51,0
594616137409363967,13,0
594616145999298559,15,0
594616154589233151,19,0
594616249078513663,5,0
594616266258382847,4,0
594616283438252031,1,0
594616309208055807,3,0
594616317797990399,3,0
594616326387924991,5,0
594616334977859583,1,0
594616352157728767,1,0
594616360747663359,4,0
594616996402823167,32,0
594617004992757759,4,0
594617013582692351,9,0
594617022172626943,4,0
594617030762561535,55,0
594617039352496127,51,0
594617047942430719,57,0
594617065122299903,3,0
594617073712234495,1,0
594617082302169087,5,0
594617090892103679,1,0
594617099482038271,37,0
594617108071972863,1,0
594617116661907455,5,0
594617133841776639,5,0
594617142431711231,4,0
594617151021645823,4,0
594617159611580415,3,0
594617168201515007,5,0
594617176791449599,4,0
594617185381384191,3,0
594617202561253375,6,0
594617211151187967,3,0
594617219741122559,4,0
594617228331057151,8,0
594617236920991743,4,0
594617245510926335,4,0
