hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,1,0
8401047ffffffff,1,0
8401059ffffffff,3,0
840105dffffffff,1,0
840106bffffffff,1,0
8401201ffffffff,1,0
8401203ffffffff,1,0
8401205ffffffff,1,0
8401207ffffffff,3,0
840120dffffffff,2,0
8401221ffffffff,3,0
8401223ffffffff,2,0
8401225ffffffff,3,0
8401227ffffffff,2,0
8401229ffffffff,5,0
840122bffffffff,4,0
840122dffffffff,4,0
8401231ffffffff,1,0
8401233ffffffff,2,0
8401235ffffffff,1,0
8401237ffffffff,1,0
8401239ffffffff,2,0
840123dffffffff,3,0
8401253ffffffff,2,0
8401261ffffffff,6,0
8401263ffffffff,4,0
8401265ffffffff,6,0
8401267ffffffff,10,0
8401269ffffffff,3,0
840126bffffffff,5,0
840126dffffffff,5,0
8401289ffffffff,1,0
84012c1ffffffff,2,0
84012c3ffffffff,1,0
84012c9ffffffff,2,0
84012cbffffffff,2,0
8401301ffffffff,1,0
8401309ffffffff,1,0
8401341ffffffff,1,0
8401347ffffffff,1,0
8401349ffffffff,7,0
840134bffffffff,5,0
840134dffffffff,1,0
8401351ffffffff,7,0
8401355ffffffff,2,0
8401357ffffffff,1,0
8401359ffffffff,9,0
840135bffffffff,8,0
840135dffffffff,11,0
8402927ffffffff,1,0
8402931ffffffff,3,0
8402933ffffffff,1,0
8402935ffffffff,2,0
8402939ffffffff,1,0
840293dffffffff,3,0
84029e1ffffffff,2,0
84029e5ffffffff,1,0
84029e7ffffffff,1,0
84029edffffffff,2,0
8404165ffffffff,1,0
8404167ffffffff,1,0
8404809ffffffff,1,0
840480dffffffff,1,0
8404821ffffffff,2,0
8404825ffffffff,2,0
8404827ffffffff,1,0
840482dffffffff,2,0
8404851ffffffff,1,0
8404853ffffffff,1,0
8404855ffffffff,1,0
840485bffffffff,1,0
8404861ffffffff,3,0
8404863ffffffff,1,0
8404865ffffffff,1,0
8404867ffffffff,3,0
8404869ffffffff,2,0
8404949ffffffff,1,0
8404959ffffffff,1,0
840495bffffffff,1,0
840495dffffffff,1,0
8404a41ffffffff,2,0
8404a49ffffffff,2,0
8404a4bffffffff,2,0
8404a4dffffffff,2,0
8404a51ffffffff,2,0
8404a53ffffffff,2,0
8404a59ffffffff,1,0
8404a5bffffffff,1,0
8404a5dffffffff,2,0
8404a65ffffffff,2,0
8404aadffffffff,1,0
8404ae7ffffffff,1,0
8404b11ffffffff,2,0
8404b13ffffffff,2,0
8404b17ffffffff,2,0
8404b19ffffffff,2,0
8404b21ffffffff,1,0
8404b23ffffffff,1,0
8404b29ffffffff,1,0
8404b53ffffffff,2,0
8404b59ffffffff,2,0
8404b5bffffffff,2,0
8404b61ffffffff,1,0
8404b63ffffffff,1,0
8404b69ffffffff,1,0
84058a5ffffffff,2,0
84058a7ffffffff,2,0
84058a9ffffffff,1,0
84058abffffffff,1,0
84058b1ffffffff,1,0
84058b3ffffffff,1,0
84058bdffffffff,1,0
84058e5ffffffff,1,0
84058e7ffffffff,1,0
8405995ffffffff,2,0
8405999ffffffff,2,0
840599bffffffff,2,0
840599dffffffff,2,0
84059b3ffffffff,2,0
84059bbffffffff,2,0
84059c1ffffffff,2,0
84059c3ffffffff,2,0
84059d1ffffffff,2,0
84059d3ffffffff,1,0
84059d5ffffffff,4,0
84059d7ffffffff,4,0
84059ddffffffff,2,0
8406043ffffffff,1,0
840604bffffffff,1,0
8406141ffffffff,1,0
8406147ffffffff,1,0
840614bffffffff,1,0
840616bffffffff,1,0
840620dffffffff,1,0
8406225ffffffff,1,0
8406239ffffffff,1,0
8406263ffffffff,1,0
8406283ffffffff,4,0
8406285ffffffff,1,0
8406289ffffffff,12,0
840628bffffffff,4,0
840628dffffffff,1,0
8406293ffffffff,2,0
8406299ffffffff,1,0
840629bffffffff,3,0
840629dffffffff,5,0
84062b9ffffffff,3,0
84062c3ffffffff,6,0
84062cbffffffff,8,0
84062d1ffffffff,4,0
84062d3ffffffff,5,0
84062d5ffffffff,10,0
84062d7ffffffff,6,0
84062d9ffffffff,14,0
84062dbffffffff,8,0
84062ddffffffff,9,0
8406315ffffffff,1,0
8406319ffffffff,1,0
840631dffffffff,1,0
8406335ffffffff,1,0
8406339ffffffff,1,0
8406521ffffffff,1,0
840652bffffffff,1,0
8406559ffffffff,1,0
840655dffffffff,1,0
8406601ffffffff,10,0
8406605ffffffff,14,0
8406607ffffffff,3,0
8406609ffffffff,22,0
840660dffffffff,16,0
8406621ffffffff,16,0
8406625ffffffff,6,0
8406627ffffffff,8,0
8406629ffffffff,10,0
840662bffffffff,9,0
840662dffffffff,19,0
840663dffffffff,1,0
8406641ffffffff,12,0
8406643ffffffff,7,0
8406645ffffffff,13,0
8406647ffffffff,11,0
8406649ffffffff,8,0
840664bffffffff,5,0
840664dffffffff,11,0
8406661ffffffff,28,0
8406663ffffffff,7,0
8406665ffffffff,14,0
8406667ffffffff,23,0
8406669ffffffff,20,0
840666bffffffff,12,0
840666dffffffff,21,0
8406703ffffffff,3,0
840670dffffffff,1,0
8406713ffffffff,3,0
8406715ffffffff,6,0
840671dffffffff,14,0
8406733ffffffff,1,0
8406739ffffffff,1,0
840673bffffffff,1,0
8406743ffffffff,7,0
8406749ffffffff,1,0
840674bffffffff,9,0
8406751ffffffff,13,0
8406753ffffffff,3,0
8406755ffffffff,1,0
8406757ffffffff,15,0
8406759ffffffff,11,0
840675bffffffff,7,0
840675dffffffff,7,0
84071b3ffffffff,1,0
8407401ffffffff,15,0
8407403ffffffff,6,0
8407405ffffffff,12,0
8407407ffffffff,14,0
8407409ffffffff,8,0
840740bffffffff,18,0
840740dffffffff,13,0
8407411ffffffff,28,0
8407413ffffffff,21,0
8407415ffffffff,34,0
8407417ffffffff,29,0
8407419ffffffff,15,0
840741bffffffff,26,0
840741dffffffff,28,1
8407421ffffffff,1,0
8407423ffffffff,25,0
8407427ffffffff,19,0
8407429ffffffff,3,0
840742bffffffff,24,0
840742dffffffff,5,0
