hex,count_good_aircraft,count_bad_aircraft
842682bffffffff,277,0
8410b31ffffffff,2,0
84a7181ffffffff,3,0
84676a9ffffffff,6,0
8435087ffffffff,11,0
8444733ffffffff,119,0
842a101ffffffff,2205,1
8412181ffffffff,36,0
84082a1ffffffff,13,0
84081cbffffffff,24,0
843512dffffffff,5,0
84686edffffffff,5,0
841ec05ffffffff,232,0
844b099ffffffff,1,0
845d069ffffffff,32,0
845f40dffffffff,1,0
84a8dd1ffffffff,3,0
84b911dffffffff,29,0
8444e83ffffffff,551,0
8412e5bffffffff,29,0
843cf67ffffffff,172,0
849d2a7ffffffff,32,0
846766dffffffff,12,0
84810b1ffffffff,2,0
8454aadffffffff,4,0
841ee97ffffffff,243,0
840cab7ffffffff,14,0
841f86bffffffff,376,0
8464121ffffffff,29,0
845f5a1ffffffff,12,0
8408e55ffffffff,1,0
8427709ffffffff,48,0
8426a8bffffffff,175,0
8419197ffffffff,27,0
840e753ffffffff,20,0
841f2ebffffffff,97,0
84a6301ffffffff,4,0
84290d5ffffffff,2,0
8426589ffffffff,226,0
842d837ffffffff,23,0
84a78cbffffffff,19,0
841954dffffffff,245,0
842c123ffffffff,2,1
8439b17ffffffff,1,0
840993bffffffff,98,0
8410addffffffff,87,0
8401207ffffffff,3,0
8408813ffffffff,1,0
841e923ffffffff,40,0
840b96dffffffff,3,0
8439113ffffffff,100,0
8475057ffffffff,5,0
8435695ffffffff,24,0
8413807ffffffff,9,0
8439423ffffffff,321,0
849d09dffffffff,5,0
8426041ffffffff,137,0
8481acbffffffff,24,0
8428e33ffffffff,1,0
8426f2bffffffff,253,0
84a78cdffffffff,18,0
8428c29ffffffff,15,0
8449913ffffffff,71,0
8466e57ffffffff,7,0
842d9ddffffffff,37,0
8428e69ffffffff,7,0
843821dffffffff,2,0
8480345ffffffff,19,0
8455239ffffffff,5,0
8410a97ffffffff,4,0
8428debffffffff,194,0
84a9287ffffffff,17,0
842a441ffffffff,2,0
841ab67ffffffff,48,0
844cb2dffffffff,5,0
84662ddffffffff,23,0
8408b1bffffffff,22,0
8469a03ffffffff,4,0
842c6e7ffffffff,106,0
8428f2bffffffff,168,0
846529dffffffff,1,0
845f697ffffffff,1,0
84279d7ffffffff,83,0
84b84e1ffffffff,1,0
848b83dffffffff,11,0
8442365ffffffff,68,0
8418463ffffffff,135,0
849d71dffffffff,13,0
8443ac9ffffffff,150,0
84299cdffffffff,196,1
840916bffffffff,14,0
845f48dffffffff,1,0
847a289ffffffff,1,0
84811a9ffffffff,26,0
843d347ffffffff,33,0
846596dffffffff,113,0
84290ddffffffff,10,0
841f117ffffffff,249,0
8408327ffffffff,13,0
84681cdffffffff,10,0
8444449ffffffff,172,0
843dac5ffffffff,86,0
841f22dffffffff,64,0
8426853ffffffff,291,0
8448c57ffffffff,346,1
8444721ffffffff,126,0
8448f03ffffffff,38,0
84a7a01ffffffff,17,0
8445485ffffffff,15,0
84a71e3ffffffff,11,0
8410a35ffffffff,12,0
8466b61ffffffff,6,0
844402dffffffff,6,0
8465369ffffffff,18,0
848cd67ffffffff,31,0
8441193ffffffff,39,0
84609c3ffffffff,48,0
8444997ffffffff,35,0
8408987ffffffff,35,0
840cf43ffffffff,8,0
846106bffffffff,3,0
84da869ffffffff,12,0
843004bffffffff,1,0
8426e63ffffffff,319,0
842612bffffffff,82,0
84bb743ffffffff,14,0
848b861ffffffff,10,0
84be8edffffffff,1,0
841870bffffffff,112,0
84608c9ffffffff,77,0
842e6bdffffffff,73,0
84be299ffffffff,1,0
8411ac3ffffffff,64,0
849d421ffffffff,4,0
8427419ffffffff,196,0
8439157ffffffff,177,0
842ab51ffffffff,478,0
841a851ffffffff,42,0
84184cdffffffff,24,0
8441441ffffffff,3,0
8419507ffffffff,181,0
8467551ffffffff,1,0
8453615ffffffff,272,1
841e101ffffffff,319,0
8443ac7ffffffff,412,0
84262a3ffffffff,306,0
8443aa5ffffffff,43,0
8412e21ffffffff,25,0
842b0c5ffffffff,62,0
8421141ffffffff,2,0
8408297ffffffff,42,0
8410a6dffffffff,219,0
8428a05ffffffff,16,0
844cf33ffffffff,37,0
848c8e3ffffffff,62,0
841833dffffffff,1,0
842a199ffffffff,28,0
84449edffffffff,1,0
84c2897ffffffff,1,0
843e709ffffffff,41,0
842c6d3ffffffff,24,0
8460333ffffffff,14,0
849d2e3ffffffff,40,0
840c5b5ffffffff,1,0
843906bffffffff,254,0
8425261ffffffff,17,0
84a7889ffffffff,14,0
842e0ddffffffff,92,0
8434481ffffffff,19,0
8422c8dffffffff,2,0
845e2bdffffffff,1,0
84818e9ffffffff,46,0
84bb297ffffffff,44,0
84752d3ffffffff,1,0
8408949ffffffff,109,0
8429907ffffffff,337,0
8444cd1ffffffff,361,0
8466e37ffffffff,6,0
8439497ffffffff,134,0
84811e7ffffffff,10,0
848e715ffffffff,2,0
847b417ffffffff,6,0
8439193ffffffff,133,0
84111c9ffffffff,69,0
8426297ffffffff,391,1
842a8cbffffffff,630,1
84be721ffffffff,98,0
841ea2bffffffff,305,0
8444b15ffffffff,25,0
849d659ffffffff,1,0
84260dbffffffff,464,0
841ea31ffffffff,220,0
8426e89ffffffff,233,0
8427661ffffffff,24,0
844494bffffffff,8,0
8408c6dffffffff,10,0
8434231ffffffff,1,0
8454f67ffffffff,3,0
840c8bdffffffff,1,0
8448b09ffffffff,40,0
8454a43ffffffff,2,0
841eb03ffffffff,136,0
8410acdffffffff,60,0
842b1cdffffffff,135,0
84260ebffffffff,280,0
8408115ffffffff,4,0
8481185ffffffff,34,0
84bf49dffffffff,1,0
843185dffffffff,7,0
84819cdffffffff,1,0
8475017ffffffff,3,0
841eb33ffffffff,116,0
842c043ffffffff,57,3
84262edffffffff,245,0
848c143ffffffff,5,0
84125a1ffffffff,64,0
842e183ffffffff,116,0
841964dffffffff,15,0
84ba2ddffffffff,10,0
840c885ffffffff,40,0
84664dbffffffff,1,0
842e73dffffffff,37,0
8444d5bffffffff,360,0
