hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,3,0
8401047ffffffff,3,0
8401059ffffffff,3,0
840105dffffffff,3,0
8401069ffffffff,2,0
840106bffffffff,3,0
8401201ffffffff,2,0
8401203ffffffff,1,0
8401205ffffffff,1,0
8401207ffffffff,3,0
840120dffffffff,1,0
8401211ffffffff,1,0
8401219ffffffff,1,0
8401221ffffffff,4,0
8401223ffffffff,3,0
8401225ffffffff,5,0
8401227ffffffff,5,0
8401229ffffffff,3,0
840122bffffffff,5,0
8401231ffffffff,3,0
8401233ffffffff,1,0
8401237ffffffff,1,0
8401239ffffffff,2,0
840123dffffffff,1,0
8401245ffffffff,1,0
840124bffffffff,2,0
840125dffffffff,2,0
8401261ffffffff,5,0
8401263ffffffff,1,0
8401265ffffffff,3,0
8401267ffffffff,6,0
8401269ffffffff,1,0
840126bffffffff,2,0
840126dffffffff,3,0
84012c1ffffffff,3,0
84012c3ffffffff,1,0
84012c9ffffffff,3,0
84012cbffffffff,6,0
84012cdffffffff,1,0
84012e5ffffffff,1,0
8401301ffffffff,1,1
8401303ffffffff,1,0
8401351ffffffff,7,1
8401353ffffffff,1,0
8401355ffffffff,2,0
8401359ffffffff,2,0
840135bffffffff,4,2
840135dffffffff,7,0
840322dffffffff,1,0
8403231ffffffff,1,0
840323bffffffff,1,0
8404809ffffffff,1,0
840480dffffffff,2,0
8404841ffffffff,1,0
8404845ffffffff,1,0
840484bffffffff,1,0
8404859ffffffff,1,0
840485dffffffff,1,0
8404861ffffffff,4,0
8404863ffffffff,2,0
8404867ffffffff,3,0
8404869ffffffff,4,0
8404949ffffffff,1,0
8404a65ffffffff,2,0
8404ae5ffffffff,1,0
8404b11ffffffff,3,0
8404b13ffffffff,4,0
8404b17ffffffff,4,0
8404b19ffffffff,3,0
8404b21ffffffff,1,0
8404b23ffffffff,1,0
8404b29ffffffff,1,0
8404b31ffffffff,1,0
8404b3bffffffff,1,0
8404b3dffffffff,1,0
8404b53ffffffff,3,0
8404b59ffffffff,1,0
8404b5bffffffff,3,0
8405995ffffffff,1,0
84059b3ffffffff,2,0
84059bbffffffff,1,0
8406281ffffffff,4,0
8406283ffffffff,9,0
8406287ffffffff,1,0
8406289ffffffff,6,0
840628bffffffff,7,0
840628dffffffff,1,0
8406291ffffffff,10,0
8406293ffffffff,2,0
8406295ffffffff,7,0
8406297ffffffff,2,0
8406299ffffffff,8,0
840629bffffffff,5,0
840629dffffffff,4,0
84062b9ffffffff,8,0
84062bbffffffff,2,0
84062bdffffffff,1,0
84062c3ffffffff,5,0
84062c7ffffffff,2,0
84062cbffffffff,3,0
84062d1ffffffff,7,0
84062d3ffffffff,7,0
84062d5ffffffff,7,0
84062d7ffffffff,7,0
84062d9ffffffff,8,0
84062dbffffffff,7,0
84062ddffffffff,2,0
8406469ffffffff,1,0
8406601ffffffff,59,0
8406603ffffffff,21,0
8406605ffffffff,11,0
8406607ffffffff,48,0
8406609ffffffff,43,0
840660bffffffff,46,0
840660dffffffff,29,0
840661dffffffff,2,0
8406621ffffffff,44,0
8406623ffffffff,1,0
8406625ffffffff,28,0
8406627ffffffff,42,0
8406629ffffffff,19,0
840662bffffffff,31,0
840662dffffffff,36,0
8406631ffffffff,4,0
8406635ffffffff,1,0
8406639ffffffff,6,0
840663dffffffff,18,0
8406641ffffffff,39,0
8406643ffffffff,28,0
8406645ffffffff,22,0
8406647ffffffff,38,0
8406649ffffffff,24,0
840664bffffffff,13,0
840664dffffffff,34,0
8406655ffffffff,9,0
840665dffffffff,2,0
8406661ffffffff,36,0
8406663ffffffff,34,0
8406665ffffffff,28,0
8406667ffffffff,51,0
8406669ffffffff,30,0
840666bffffffff,39,0
840666dffffffff,50,0
8406703ffffffff,21,0
8406709ffffffff,13,0
840670bffffffff,2,0
840670dffffffff,1,0
8406711ffffffff,11,0
8406713ffffffff,14,0
8406715ffffffff,33,0
8406717ffffffff,1,0
8406719ffffffff,4,0
840671bffffffff,4,0
840671dffffffff,82,0
8406739ffffffff,3,0
8406741ffffffff,1,0
8406743ffffffff,15,0
8406745ffffffff,1,0
8406749ffffffff,19,0
840674bffffffff,9,0
840674dffffffff,6,0
8406751ffffffff,65,0
8406753ffffffff,22,0
8406755ffffffff,8,0
8406757ffffffff,77,0
8406759ffffffff,70,0
840675bffffffff,32,0
840675dffffffff,22,0
8407401ffffffff,10,0
8407403ffffffff,14,0
8407405ffffffff,19,0
8407407ffffffff,8,0
8407409ffffffff,8,0
840740bffffffff,13,0
840740dffffffff,16,0
8407411ffffffff,43,0
8407413ffffffff,38,0
8407415ffffffff,67,0
8407417ffffffff,49,0
8407419ffffffff,33,0
840741bffffffff,35,0
840741dffffffff,62,0
8407421ffffffff,4,0
8407423ffffffff,26,0
8407427ffffffff,5,0
8407429ffffffff,6,0
840742bffffffff,26,0
840742dffffffff,2,0
8407431ffffffff,28,0
8407433ffffffff,90,0
8407435ffffffff,7,0
8407437ffffffff,28,0
8407439ffffffff,15,0
840743bffffffff,73,0
840743dffffffff,4,0
8407441ffffffff,12,0
8407443ffffffff,5,0
8407445ffffffff,3,0
8407447ffffffff,12,0
8407449ffffffff,11,0
840744bffffffff,5,0
8407451ffffffff,62,0
8407453ffffffff,31,0
8407455ffffffff,14,0
8407457ffffffff,60,0
8407459ffffffff,28,0
840745bffffffff,26,0
840745dffffffff,10,0
8407461ffffffff,9,0
8407463ffffffff,6,0
8407465ffffffff,1,0
8407467ffffffff,7,0
8407469ffffffff,10,0
840746bffffffff,6,0
8407481ffffffff,21,0
8407483ffffffff,9,0
8407485ffffffff,15,0
8407487ffffffff,27,0
8407489ffffffff,39,0
840748bffffffff,7,0
840748dffffffff,24,0
8407495ffffffff,3,0
8407497ffffffff,2,0
84074a1ffffffff,28,0
84074a3ffffffff,4,0
84074a5ffffffff,13,0
84074a7ffffffff,29,0
84074a9ffffffff,28,0
84074abffffffff,38,0
84074adffffffff,20,0
84074b1ffffffff,7,0
84074b9ffffffff,30,0
84074bbffffffff,9,0
84074bdffffffff,33,0
84074c1ffffffff,13,0
84074c3ffffffff,44,0
84074c5ffffffff,49,0
84074c7ffffffff,19,0
84074c9ffffffff,24,0
84074cbffffffff,9,0
84074cdffffffff,30,0
84074d1ffffffff,1,0
84074d5ffffffff,27,0
84074ddffffffff,3,0
84074e1ffffffff,39,0
84074e3ffffffff,39,0
84074e5ffffffff,57,0
84074e7ffffffff,24,0
84074e9ffffffff,41,0
84074ebffffffff,35,0
84074edffffffff,51,0
8407511ffffffff,10,0
8407513ffffffff,2,0
8407515ffffffff,6,0
8407517ffffffff,12,0
8407519ffffffff,1,0
8407533ffffffff,6,0
8407535ffffffff,1,0
840753bffffffff,8,0
840753dffffffff,7,0
840755bffffffff,3,0
8407581ffffffff,16,0
8407583ffffffff,47,0
8407585ffffffff,16,0
8407587ffffffff,22,0
8407589ffffffff,10,0
840758bffffffff,42,0
840758dffffffff,12,0
8407591ffffffff,25,0
8407593ffffffff,31,0
8407595ffffffff,67,0
8407597ffffffff,43,0
8407599ffffffff,29,0
840759bffffffff,14,0
840759dffffffff,75,0
84075a1ffffffff,10,0
84075a3ffffffff,20,0
84075a5ffffffff,7,0
84075a7ffffffff,5,0
84075a9ffffffff,9,0
84075abffffffff,15,0
84075adffffffff,5,0
84075b1ffffffff,21,0
84075b3ffffffff,68,0
84075b5ffffffff,20,0
84075b7ffffffff,21,0
84075b9ffffffff,34,0
84075bbffffffff,58,0
84075bdffffffff,28,0
84075c1ffffffff,18,0
84075c3ffffffff,12,0
84075c5ffffffff,10,0
84075c7ffffffff,13,0
84075c9ffffffff,20,0
84075cbffffffff,13,0
84075cdffffffff,7,0
84075d1ffffffff,123,0
84075d3ffffffff,24,0
84075d5ffffffff,56,0
84075d7ffffffff,83,0
84075d9ffffffff,118,0
84075dbffffffff,28,0
84075ddffffffff,64,0
84075e1ffffffff,7,0
84075e3ffffffff,4,0
84075e5ffffffff,9,0
84075e7ffffffff,6,0
84075e9ffffffff,8,0
84075ebffffffff,5,0
84075edffffffff,6,0
8407623ffffffff,1,0
8407631ffffffff,8,0
8407633ffffffff,2,0
8407635ffffffff,8,0
8407637ffffffff,14,0
840763dffffffff,3,0
84076a1ffffffff,22,0
84076a3ffffffff,1,0
84076a5ffffffff,36,0
84076a7ffffffff,19,0
84076a9ffffffff,25,0
84076adffffffff,34,0
84076e1ffffffff,17,0
84076e3ffffffff,18,0
84076e5ffffffff,13,0
