hex,count_good_aircraft,count_bad_aircraft
594494950612140031,1,0
594494976381943807,2,0
594495002151747583,2,0
594495088051093503,2,0
594495096641028095,1,0
594495105230962687,2,0
594495122410831871,2,0
594495131000766463,2,0
594495139590701055,1,0
594495156770570239,1,0
594495165360504831,1,0
594495191130308607,1,0
594495208310177791,1,0
594495362929000447,2,0
594495371518935039,2,0
594495380108869631,2,0
594495388698804223,7,0
594495405878673407,1,0
594495414468607999,3,0
594496359361413119,1,0
594496367951347711,1,0
594496393721151487,6,0
594496402311086079,1,0
594496410901020671,4,0
594496428080889855,13,5
594496436670824447,11,1
594496445260759039,10,0
594554358599778303,4,0
594554375779647487,4,0
594554461678993407,2,0
594554478858862591,2,0
594554487448797183,1,0
594554513218600959,2,0
594554667837423615,4,0
594554676427358207,4,0
594554685017292799,4,0
594554710787096575,4,0
594554736556900351,6,0
594554745146834943,4,0
594554753736769535,4,0
594554762326704127,6,0
594554770916638719,2,0
594555801708789759,4,0
594555810298724351,4,0
594555818888658943,3,0
594556952760025087,2,0
594557244817801215,3,0
594557261997670399,4,0
594557511105773567,3,0
594557691494399999,2,0
594557700084334591,2,0
594557717264203775,2,0
594557725854138367,2,0
594557974962241535,2,0
594558000732045311,2,0
594558009321979903,2,0
594573651592871935,2,0
594573685952610303,2,0
594573780441890815,2,0
594573814801629183,2,0
594573909290909695,2,0
594573926470778879,2,0
594573935060713471,2,0
594573960830517247,2,0
594583461298175999,1,0
594583469888110591,2,0
594583495657914367,3,0
594583504247848959,3,0
594583512837783551,1,0
594583530017652735,4,0
594583538607587327,1,0
594583547197521919,1,0
594583555787456511,5,0
594583564377391103,3,0
594583572967325695,2,0
594583581557260287,2,0
594583701816344575,1,0
594583744766017535,2,0
594583779125755903,2,0
594583804895559679,3,0
594583813485494271,4,0
594583822075428863,3,0
594583830665363455,4,0
594583839255298047,3,0
594583847845232639,5,0
594583856435167231,2,0
594587309588873215,11,0
594587318178807807,3,0
594587326768742399,6,0
594587335358676991,7,0
594587343948611583,19,0
594587352538546175,8,0
594587361128480767,4,0
594587395488219135,3,0
594587429847957503,3,0
594587447027826687,23,0
594587464207695871,14,0
594587472797630463,2,0
594587481387565055,17,0
594587489977499647,7,0
594587498567434239,23,0
594587584466780159,4,0
594587593056714751,4,0
594587601646649343,18,0
594587610236583935,2,0
594587618826518527,1,0
594587627416453119,2,0
594587636006387711,17,0
594587670366126079,2,0
594587704725864447,1,0
594587721905733631,22,0
594587730495668223,19,0
594587739085602815,12,0
594587747675537407,15,0
594587756265471999,21,0
594587764855406591,22,0
594587773445341183,12,0
594588417690435583,2,0
594588494999846911,2,0
594588512179716095,1,0
594588529359585279,15,0
594588692568342527,2,0
594588718338146303,4,0
594588726928080895,4,0
594588752697884671,12,0
594588761287819263,2,0
594588769877753855,1,0
594588778467688447,16,0
594588787057623039,10,0
594588795647557631,4,0
594588804237492223,1,0
594588855777099775,1,0
594588872956968959,1,0
594602702751662079,7,0
594602711341596671,6,0
594602719931531263,5,0
594602728521465855,8,0
594602737111400447,4,0
594602745701335039,8,0
594602754291269631,6,0
594602771471138815,30,0
594602780061073407,28,0
594602788651007999,24,0
594602797240942591,29,0
594602805830877183,16,0
594602814420811775,28,0
594602823010746367,21,0
594602848780550143,7,0
594602865960419327,2,0
594602874550353919,3,0
594602883140288511,7,0
594602891730223103,4,0
594602908910092287,12,0
594602917500026879,41,0
594602926089961471,6,0
594602934679896063,14,0
594602943269830655,10,0
594602951859765247,27,0
594602960449699839,7,0
594602977629569023,1,0
594602986219503615,6,0
594602994809438207,2,0
594603003399372799,3,0
594603011989307391,3,0
594603020579241983,6,0
594603046349045759,19,0
594603054938980351,14,0
594603063528914943,8,0
594603072118849535,18,0
594603080708784127,5,0
594603089298718719,14,0
594603097888653311,6,0
594603115068522495,6,0
594603123658457087,3,0
594603140838326271,8,0
594603149428260863,2,0
594603158018195455,4,0
594603252507475967,4,0
594603261097410559,3,0
594603269687345151,2,0
594603278277279743,7,0
594603286867214335,17,0
594603295457148927,6,0
594603304047083519,1,0
594603338406821887,1,0
594603389946429439,15,0
594603407126298623,15,0
594603415716233215,16,0
594603424306167807,16,0
594603432896102399,3,0
594603441486036991,18,0
594603458665906175,2,0
594603493025644543,20,0
594603501615579135,2,0
594603510205513727,13,0
594603527385382911,4,0
594603535975317503,13,0
594603544565252095,27,0
594603553155186687,3,0
594603561745121279,2,0
594603570335055871,2,0
594603578924990463,22,0
594603613284728831,20,0
594603664824336383,29,0
594603673414270975,19,0
594603682004205567,31,0
594603690594140159,27,0
594603699184074751,32,0
594603707774009343,23,0
594603716363943935,30,0
594603870982766591,3,0
594603879572701183,3,0
594603888162635775,3,0
594603896752570367,4,0
594603913932439551,1,0
594604008421720063,5,0
594604017011654655,2,0
594604034191523839,4,0
594604042781458431,7,0
594604051371393023,5,0
594604059961327615,3,0
594604188810346495,1,0
594604352019103743,5,0
594604360609038335,2,0
594604369198972927,5,0
594604377788907519,5,0
594604386378842111,3,0
594604394968776703,4,0
594604403558711295,4,0
594604420738580479,12,0
594604429328515071,21,0
594604437918449663,13,0
594604446508384255,10,0
594604455098318847,7,0
594604463688253439,17,0
594604472278188031,18,0
594604489458057215,1,0
594604498047991807,5,0
594604506637926399,1,0
594604515227860991,1,0
594604523817795583,1,0
594604532407730175,5,0
594604540997664767,2,0
594604558177533951,3,0
594604566767468543,11,0
594604575357403135,4,0
594604583947337727,2,0
594604592537272319,3,0
594604601127206911,8,0
594604609717141503,2,0
594604626897010687,5,0
594604635486945279,6,0
594604644076879871,6,0
594604652666814463,5,0
594604661256749055,3,0
594604669846683647,6,0
594604678436618239,3,0
594604695616487423,48,0
594604704206422015,10,0
594604712796356607,5,0
594604721386291199,31,0
594604729976225791,47,0
594604738566160383,27,0
594604747156094975,19,0
594604764335964159,4,0
594604772925898751,2,0
