hex,count_good_aircraft,count_bad_aircraft
8400533ffffffff,0,1
84005e5ffffffff,0,1
8400cc3ffffffff,1,0
8401043ffffffff,3,0
8401047ffffffff,3,0
8401049ffffffff,3,0
840104bffffffff,3,0
8401059ffffffff,4,0
840105dffffffff,5,0
8401069ffffffff,1,0
840106bffffffff,3,0
8401201ffffffff,3,0
8401207ffffffff,5,0
840120dffffffff,2,0
8401221ffffffff,7,0
8401223ffffffff,2,0
8401225ffffffff,10,0
8401227ffffffff,9,0
8401229ffffffff,5,0
840122bffffffff,7,0
840122dffffffff,3,0
8401231ffffffff,3,0
8401233ffffffff,3,0
8401237ffffffff,3,0
8401239ffffffff,4,0
840123dffffffff,3,0
8401245ffffffff,1,0
840124bffffffff,2,0
840125bffffffff,1,0
8401261ffffffff,3,0
8401263ffffffff,1,0
8401265ffffffff,3,0
8401267ffffffff,7,1
8401269ffffffff,1,0
840126bffffffff,1,0
840126dffffffff,1,0
84012c1ffffffff,2,0
84012c3ffffffff,2,0
84012c9ffffffff,3,0
84012cbffffffff,6,0
84012ddffffffff,1,0
8401301ffffffff,1,1
8401349ffffffff,5,1
840134bffffffff,3,0
8401351ffffffff,11,0
8401353ffffffff,3,0
8401355ffffffff,2,0
8401359ffffffff,8,0
840135bffffffff,7,0
840135dffffffff,11,0
8406281ffffffff,3,0
8406283ffffffff,10,0
840628bffffffff,13,0
840628dffffffff,1,0
8406291ffffffff,6,0
8406293ffffffff,4,0
8406295ffffffff,3,0
8406297ffffffff,4,0
8406299ffffffff,8,0
840629bffffffff,5,0
840629dffffffff,3,0
84062b9ffffffff,3,0
84062bbffffffff,2,0
84062c7ffffffff,1,0
84062d1ffffffff,16,0
84062d3ffffffff,6,0
84062d5ffffffff,10,0
84062d7ffffffff,14,0
84062d9ffffffff,11,0
84062dbffffffff,9,0
84062ddffffffff,2,0
8406469ffffffff,1,0
8406601ffffffff,11,0
8406603ffffffff,2,0
8406605ffffffff,13,0
8406609ffffffff,21,0
840660bffffffff,6,0
840660dffffffff,12,0
8406621ffffffff,19,0
8406625ffffffff,3,0
8406627ffffffff,11,0
8406629ffffffff,17,0
840662bffffffff,13,0
840662dffffffff,11,0
8406641ffffffff,1,0
8406643ffffffff,12,0
8406645ffffffff,5,0
8406647ffffffff,1,0
840664bffffffff,5,0
840664dffffffff,10,0
8406655ffffffff,2,0
8406661ffffffff,18,0
8406663ffffffff,7,0
8406665ffffffff,16,0
8406667ffffffff,12,0
8406669ffffffff,13,0
840666bffffffff,8,0
840666dffffffff,13,0
8406703ffffffff,12,0
8406709ffffffff,3,0
840670bffffffff,7,0
8406713ffffffff,2,0
8406715ffffffff,9,0
8406719ffffffff,1,0
840671dffffffff,22,0
8406739ffffffff,2,0
8406741ffffffff,2,0
8406743ffffffff,7,0
8406749ffffffff,3,0
840674bffffffff,8,0
8406751ffffffff,24,0
8406753ffffffff,4,0
8406755ffffffff,9,0
8406757ffffffff,22,0
8406759ffffffff,25,0
840675bffffffff,8,0
840675dffffffff,13,0
8407401ffffffff,5,0
8407403ffffffff,6,0
8407405ffffffff,7,0
8407407ffffffff,6,0
8407409ffffffff,4,0
840740bffffffff,8,0
840740dffffffff,7,0
8407411ffffffff,42,0
8407413ffffffff,25,0
8407415ffffffff,48,0
8407417ffffffff,36,0
8407419ffffffff,31,0
840741bffffffff,21,0
840741dffffffff,41,0
8407421ffffffff,2,0
8407423ffffffff,8,0
8407425ffffffff,1,0
8407427ffffffff,1,0
8407429ffffffff,5,0
840742bffffffff,7,0
840742dffffffff,2,0
