hex,count_good_aircraft,count_bad_aircraft
8400cd3ffffffff,0,1
8401043ffffffff,1,0
8401047ffffffff,1,0
8401059ffffffff,1,0
840105bffffffff,1,0
840105dffffffff,1,0
840106bffffffff,1,0
8401201ffffffff,1,0
8401207ffffffff,1,0
840120dffffffff,1,0
8401221ffffffff,3,0
8401223ffffffff,1,0
8401225ffffffff,2,0
8401227ffffffff,2,0
840122bffffffff,2,0
8401231ffffffff,1,0
8401233ffffffff,1,0
8401239ffffffff,1,0
8401245ffffffff,1,0
840124bffffffff,1,0
8401261ffffffff,5,0
8401263ffffffff,1,0
8401265ffffffff,3,0
8401267ffffffff,3,0
8401269ffffffff,3,0
840126bffffffff,2,0
840126dffffffff,4,0
84012c1ffffffff,1,0
84012c3ffffffff,1,0
84012c7ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,3,0
8401351ffffffff,3,0
8401355ffffffff,2,0
8401359ffffffff,4,0
840135bffffffff,2,0
840135dffffffff,7,0
8403263ffffffff,1,0
8406281ffffffff,1,0
8406283ffffffff,8,0
8406289ffffffff,10,0
840628bffffffff,10,0
8406291ffffffff,8,0
8406293ffffffff,4,0
8406295ffffffff,3,0
8406297ffffffff,8,0
8406299ffffffff,9,0
840629bffffffff,4,0
840629dffffffff,5,0
84062b1ffffffff,1,0
84062b9ffffffff,2,0
84062bbffffffff,2,0
84062c3ffffffff,5,0
84062cbffffffff,5,0
84062d1ffffffff,10,0
84062d3ffffffff,13,0
84062d5ffffffff,17,0
84062d7ffffffff,5,0
84062d9ffffffff,17,0
84062dbffffffff,12,0
84062ddffffffff,12,0
8406601ffffffff,3,0
8406603ffffffff,8,0
8406605ffffffff,9,0
8406607ffffffff,1,0
8406609ffffffff,9,0
840660bffffffff,11,0
840660dffffffff,21,0
8406621ffffffff,25,0
8406625ffffffff,9,0
8406627ffffffff,6,0
8406629ffffffff,22,0
840662bffffffff,3,0
840662dffffffff,15,0
8406639ffffffff,2,0
8406641ffffffff,17,0
8406643ffffffff,4,0
8406645ffffffff,11,0
8406647ffffffff,18,0
8406649ffffffff,8,0
840664dffffffff,20,0
840665dffffffff,2,0
8406661ffffffff,27,0
8406663ffffffff,25,0
8406665ffffffff,26,0
8406667ffffffff,15,0
8406669ffffffff,29,0
840666bffffffff,26,0
840666dffffffff,28,0
8406703ffffffff,18,0
840670bffffffff,2,0
8406715ffffffff,6,0
8406719ffffffff,1,0
840671dffffffff,50,0
8406739ffffffff,2,0
8406741ffffffff,2,0
