hex,count_good_aircraft,count_bad_aircraft
84005ebffffffff,0,1
8401043ffffffff,1,0
8401047ffffffff,1,0
8401049ffffffff,1,0
840104bffffffff,1,0
8401059ffffffff,2,0
840105bffffffff,1,0
840105dffffffff,1,0
840106bffffffff,1,0
8401201ffffffff,4,0
8401207ffffffff,5,0
840120dffffffff,2,0
8401221ffffffff,3,0
8401223ffffffff,3,0
8401225ffffffff,3,0
8401227ffffffff,4,0
8401229ffffffff,2,0
840122bffffffff,4,0
840122dffffffff,1,0
8401231ffffffff,4,0
8401233ffffffff,4,0
8401239ffffffff,4,0
840123dffffffff,1,0
8401241ffffffff,1,0
8401245ffffffff,1,1
8401247ffffffff,1,0
840124bffffffff,3,0
8401261ffffffff,6,1
8401263ffffffff,3,0
8401265ffffffff,2,1
8401267ffffffff,5,3
8401269ffffffff,1,0
840126bffffffff,2,0
840126dffffffff,2,0
84012c9ffffffff,1,0
84012cbffffffff,1,0
84012e5ffffffff,1,0
8401319ffffffff,1,0
840134bffffffff,0,1
8401351ffffffff,7,2
8401353ffffffff,1,0
8401355ffffffff,3,0
8401359ffffffff,4,0
840135bffffffff,1,0
840135dffffffff,9,0
8406601ffffffff,6,0
8406605ffffffff,13,0
8406607ffffffff,5,0
8406609ffffffff,15,0
840660bffffffff,1,0
840660dffffffff,12,0
8406621ffffffff,32,0
8406625ffffffff,25,0
8406627ffffffff,11,0
8406629ffffffff,26,0
840662bffffffff,5,0
840662dffffffff,43,0
840663dffffffff,5,0
8406641ffffffff,20,0
8406643ffffffff,4,0
8406645ffffffff,26,0
8406647ffffffff,20,0
8406649ffffffff,13,0
840664dffffffff,25,0
8406655ffffffff,2,0
840665dffffffff,1,0
8406661ffffffff,42,0
8406663ffffffff,34,0
8406665ffffffff,19,0
8406667ffffffff,41,0
8406669ffffffff,37,0
840666bffffffff,35,0
840666dffffffff,26,0
8406703ffffffff,4,0
840670bffffffff,1,0
8406715ffffffff,13,0
840671dffffffff,37,0
8406739ffffffff,1,0
8406743ffffffff,4,0
