hex,count_good_aircraft,count_bad_aircraft
8400581ffffffff,1,0
84005d3ffffffff,1,0
8400c09ffffffff,1,0
8400c95ffffffff,1,0
8400cadffffffff,1,0
8400e95ffffffff,1,0
8400eadffffffff,1,0
8401041ffffffff,1,0
8401043ffffffff,2,0
8401047ffffffff,3,0
840104bffffffff,1,0
8401059ffffffff,3,0
840105bffffffff,1,0
840105dffffffff,1,0
8401069ffffffff,2,1
840106bffffffff,3,1
8401201ffffffff,4,0
8401207ffffffff,4,0
840120dffffffff,2,0
840121bffffffff,1,0
8401231ffffffff,4,0
8401233ffffffff,3,0
8401237ffffffff,1,0
8401239ffffffff,4,0
8401247ffffffff,1,0
840124bffffffff,1,0
840125dffffffff,1,0
8401261ffffffff,2,0
8401267ffffffff,1,1
840126bffffffff,3,0
84012c1ffffffff,2,0
84012c9ffffffff,1,0
84012cbffffffff,3,0
8401301ffffffff,1,1
8401303ffffffff,1,0
8401351ffffffff,3,0
8401355ffffffff,2,0
840135dffffffff,3,0
8403205ffffffff,1,0
8403227ffffffff,1,0
8403239ffffffff,0,1
840324bffffffff,1,0
8403261ffffffff,1,1
840326bffffffff,0,1
8406601ffffffff,3,0
8406605ffffffff,9,0
8406607ffffffff,1,0
8406609ffffffff,6,0
840660bffffffff,1,0
840660dffffffff,14,0
8406621ffffffff,13,0
8406623ffffffff,1,0
8406625ffffffff,6,0
8406627ffffffff,4,0
8406629ffffffff,16,0
840662bffffffff,9,0
840662dffffffff,21,0
8406641ffffffff,16,0
8406643ffffffff,3,0
8406645ffffffff,9,0
8406647ffffffff,12,0
8406649ffffffff,9,0
840664bffffffff,2,0
840664dffffffff,16,0
840665dffffffff,3,0
8406661ffffffff,27,0
8406663ffffffff,24,0
8406665ffffffff,28,0
8406667ffffffff,24,0
8406669ffffffff,26,0
840666bffffffff,24,0
840666dffffffff,33,0
8406703ffffffff,12,0
8406709ffffffff,1,0
840670bffffffff,4,0
8406711ffffffff,1,0
8406715ffffffff,13,0
8406719ffffffff,1,0
840671dffffffff,50,0
8406743ffffffff,10,0
8406749ffffffff,2,0
840674bffffffff,15,0
8406751ffffffff,50,0
8406753ffffffff,4,0
8406755ffffffff,3,0
8406757ffffffff,55,0
8406759ffffffff,45,0
840675bffffffff,17,0
840675dffffffff,7,0
8407431ffffffff,25,0
8407433ffffffff,66,0
8407435ffffffff,3,0
8407437ffffffff,42,0
840743bffffffff,6,0
84074a1ffffffff,17,0
84074a3ffffffff,2,0
84074a5ffffffff,17,0
84074a7ffffffff,15,0
84074a9ffffffff,10,0
84074abffffffff,15,0
84074adffffffff,11,0
84074b9ffffffff,1,0
84074bdffffffff,3,0
84074cdffffffff,1,0
84074e1ffffffff,40,0
84074e3ffffffff,3,0
84074e5ffffffff,67,0
84074e7ffffffff,29,0
84074ebffffffff,1,0
84074edffffffff,21,0
8407581ffffffff,13,0
8407583ffffffff,29,0
8407585ffffffff,4,0
8407587ffffffff,25,0
8407589ffffffff,11,0
840758bffffffff,31,0
840758dffffffff,6,0
8407591ffffffff,33,0
8407593ffffffff,20,0
8407595ffffffff,64,0
8407597ffffffff,45,0
8407599ffffffff,21,0
840759bffffffff,13,0
840759dffffffff,72,0
84075a3ffffffff,5,0
84075abffffffff,8,0
84075b1ffffffff,22,0
84075b3ffffffff,52,0
84075b5ffffffff,18,0
84075b7ffffffff,26,0
84075b9ffffffff,24,0
84075bbffffffff,44,0
84075bdffffffff,14,0
84075c3ffffffff,9,0
84075cbffffffff,16,0
84075d1ffffffff,117,0
84075d3ffffffff,33,0
84075d5ffffffff,29,0
84075d7ffffffff,98,0
84075d9ffffffff,90,0
84075dbffffffff,75,0
84075ddffffffff,32,0
840769bffffffff,1,0
84076d9ffffffff,2,0
8408001ffffffff,6,0
8408005ffffffff,1,0
8408007ffffffff,5,0
8408009ffffffff,2,0
840800bffffffff,7,0
840800dffffffff,6,0
8408021ffffffff,14,0
8408023ffffffff,14,0
8408025ffffffff,14,0
8408027ffffffff,10,0
8408029ffffffff,4,0
840802bffffffff,11,0
840802dffffffff,11,0
8408031ffffffff,14,0
8408033ffffffff,14,0
8408035ffffffff,18,0
8408037ffffffff,17,0
8408039ffffffff,5,0
840803bffffffff,7,0
840803dffffffff,12,0
8408043ffffffff,1,0
840804bffffffff,1,0
8408053ffffffff,5,0
8408057ffffffff,6,0
8408061ffffffff,5,0
8408063ffffffff,5,0
8408065ffffffff,4,0
8408069ffffffff,2,0
840806bffffffff,3,0
840806dffffffff,10,0
8408101ffffffff,13,0
8408103ffffffff,7,0
8408105ffffffff,6,0
8408107ffffffff,9,0
8408109ffffffff,25,0
840810bffffffff,22,0
840810dffffffff,24,0
8408111ffffffff,3,0
8408113ffffffff,5,0
8408115ffffffff,10,0
8408117ffffffff,5,0
8408119ffffffff,11,0
840811bffffffff,2,0
840811dffffffff,7,0
8408121ffffffff,5,0
8408123ffffffff,2,0
8408125ffffffff,1,0
8408127ffffffff,2,0
8408129ffffffff,8,0
840812bffffffff,5,0
840812dffffffff,7,0
8408131ffffffff,9,0
8408133ffffffff,7,0
8408135ffffffff,6,0
8408137ffffffff,9,0
8408139ffffffff,12,0
840813bffffffff,8,0
840813dffffffff,6,0
8408141ffffffff,4,0
8408143ffffffff,12,0
8408145ffffffff,5,0
8408147ffffffff,14,0
8408149ffffffff,7,0
840814bffffffff,6,0
840814dffffffff,2,0
8408151ffffffff,46,0
8408153ffffffff,23,0
8408155ffffffff,27,0
8408157ffffffff,29,0
8408159ffffffff,7,0
840815bffffffff,13,0
