hex,count_good_aircraft,count_bad_aircraft
8401059ffffffff,3,0
8401201ffffffff,3,0
8401207ffffffff,5,0
840120dffffffff,4,0
8401219ffffffff,2,0
840121bffffffff,2,0
8401221ffffffff,5,0
8401225ffffffff,3,0
8401227ffffffff,3,0
8401229ffffffff,4,0
840122bffffffff,4,0
8401231ffffffff,3,0
8401233ffffffff,3,0
8401239ffffffff,3,0
840123dffffffff,2,0
8401245ffffffff,1,0
840124bffffffff,7,0
8401253ffffffff,4,0
840125dffffffff,2,0
8401261ffffffff,5,0
8401263ffffffff,3,0
8401265ffffffff,3,0
8401267ffffffff,7,0
8401269ffffffff,2,0
840126bffffffff,1,0
840126dffffffff,2,0
84012c1ffffffff,4,0
84012c3ffffffff,3,0
84012c7ffffffff,2,0
84012c9ffffffff,1,0
84012cbffffffff,2,0
840134bffffffff,2,1
8401351ffffffff,7,0
8401353ffffffff,1,0
8401355ffffffff,2,0
8401359ffffffff,8,0
840135bffffffff,6,0
840135dffffffff,10,0
8402907ffffffff,1,0
8402927ffffffff,1,0
8402931ffffffff,1,0
8402935ffffffff,1,0
840293dffffffff,2,0
8406281ffffffff,3,0
8406283ffffffff,12,0
8406289ffffffff,8,0
840628bffffffff,12,0
840628dffffffff,1,0
8406291ffffffff,4,0
8406293ffffffff,6,0
8406295ffffffff,3,0
8406297ffffffff,4,0
8406299ffffffff,8,0
840629bffffffff,9,0
840629dffffffff,11,0
84062b9ffffffff,3,0
84062c3ffffffff,6,0
84062cbffffffff,6,0
84062d1ffffffff,12,0
84062d3ffffffff,14,0
84062d5ffffffff,18,0
84062d7ffffffff,9,0
84062d9ffffffff,18,0
84062dbffffffff,11,0
84062ddffffffff,10,0
8406601ffffffff,6,0
8406603ffffffff,4,0
8406605ffffffff,17,0
8406607ffffffff,1,0
8406609ffffffff,16,0
840660bffffffff,2,0
840660dffffffff,22,0
8406621ffffffff,18,0
8406625ffffffff,3,0
8406627ffffffff,2,0
8406629ffffffff,21,0
840662bffffffff,8,0
840662dffffffff,6,0
8406639ffffffff,3,0
8406641ffffffff,6,0
8406643ffffffff,13,0
8406645ffffffff,8,0
8406647ffffffff,10,0
8406649ffffffff,3,0
840664dffffffff,17,0
8406661ffffffff,17,0
8406663ffffffff,14,0
8406665ffffffff,16,0
8406667ffffffff,6,0
8406669ffffffff,21,0
840666bffffffff,17,0
840666dffffffff,13,0
8406703ffffffff,2,0
8406715ffffffff,11,0
840671dffffffff,26,0
8406743ffffffff,5,0
8406749ffffffff,4,0
840674bffffffff,15,0
8406751ffffffff,28,0
8406755ffffffff,1,0
8406757ffffffff,28,0
8406759ffffffff,17,0
840675bffffffff,13,0
840675dffffffff,1,0
8407401ffffffff,23,0
8407403ffffffff,7,0
8407405ffffffff,17,0
8407407ffffffff,14,0
8407409ffffffff,14,0
840740bffffffff,16,0
840740dffffffff,26,0
8407411ffffffff,37,0
8407413ffffffff,37,0
8407415ffffffff,39,0
8407417ffffffff,44,0
8407419ffffffff,28,0
840741bffffffff,30,0
840741dffffffff,30,0
8407421ffffffff,3,0
8407423ffffffff,31,0
8407425ffffffff,1,0
8407427ffffffff,18,0
8407429ffffffff,8,0
840742bffffffff,29,0
840742dffffffff,12,0
8407431ffffffff,24,0
8407433ffffffff,52,0
8407435ffffffff,5,0
8407437ffffffff,27,0
8407439ffffffff,9,0
840743bffffffff,39,0
840743dffffffff,4,0
8407441ffffffff,7,0
8407443ffffffff,20,0
8407445ffffffff,3,0
8407447ffffffff,14,0
8407449ffffffff,6,0
840744bffffffff,21,0
8407451ffffffff,31,0
8407453ffffffff,18,0
8407455ffffffff,10,0
8407457ffffffff,33,0
8407459ffffffff,5,0
840745bffffffff,20,0
840745dffffffff,6,0
8407461ffffffff,12,0
8407463ffffffff,11,0
8407467ffffffff,21,0
8407469ffffffff,13,0
840746bffffffff,8,0
8407481ffffffff,12,0
8407483ffffffff,1,0
8407485ffffffff,14,0
8407487ffffffff,4,0
8407489ffffffff,16,0
840748dffffffff,6,0
84074a1ffffffff,6,0
84074a3ffffffff,1,0
84074a5ffffffff,3,0
84074a7ffffffff,13,0
84074a9ffffffff,1,0
84074abffffffff,15,0
84074adffffffff,3,0
84074b9ffffffff,7,0
84074bdffffffff,5,0
84074c1ffffffff,5,0
84074c3ffffffff,17,0
84074c5ffffffff,20,0
84074c7ffffffff,6,0
84074c9ffffffff,3,0
84074cdffffffff,17,0
84074d5ffffffff,1,0
84074e1ffffffff,22,0
84074e3ffffffff,5,0
84074e5ffffffff,45,0
84074e7ffffffff,20,0
84074e9ffffffff,28,0
84074ebffffffff,11,0
84074edffffffff,46,0
8407511ffffffff,12,0
8407513ffffffff,9,0
8407515ffffffff,18,0
8407517ffffffff,13,0
8407519ffffffff,1,0
8407531ffffffff,10,0
8407533ffffffff,15,0
8407537ffffffff,2,0
8407539ffffffff,8,0
840753bffffffff,17,0
840753dffffffff,4,0
840755bffffffff,1,0
8407581ffffffff,7,0
8407583ffffffff,13,0
8407585ffffffff,9,0
8407587ffffffff,11,0
8407589ffffffff,6,0
840758bffffffff,13,0
840758dffffffff,11,0
8407591ffffffff,16,0
8407593ffffffff,23,0
8407595ffffffff,30,0
8407597ffffffff,7,0
8407599ffffffff,16,0
840759bffffffff,7,0
840759dffffffff,39,0
84075a1ffffffff,4,0
84075a3ffffffff,4,0
84075a5ffffffff,8,0
84075a7ffffffff,3,0
84075a9ffffffff,10,0
84075abffffffff,10,0
84075adffffffff,11,0
84075b1ffffffff,17,0
84075b3ffffffff,18,0
84075b5ffffffff,18,0
84075b7ffffffff,13,0
84075b9ffffffff,19,0
84075bbffffffff,17,0
84075bdffffffff,10,0
84075c1ffffffff,7,0
84075c3ffffffff,10,0
84075c5ffffffff,16,0
84075c7ffffffff,10,0
84075c9ffffffff,16,0
84075cbffffffff,8,0
84075cdffffffff,21,0
84075d1ffffffff,72,0
84075d3ffffffff,13,0
84075d5ffffffff,10,0
84075d7ffffffff,51,0
84075d9ffffffff,69,0
84075dbffffffff,35,0
84075ddffffffff,40,0
84075e1ffffffff,7,0
84075e3ffffffff,11,0
84075e5ffffffff,18,0
84075e7ffffffff,11,0
84075e9ffffffff,13,0
84075ebffffffff,11,0
84075edffffffff,13,0
8407631ffffffff,2,0
8407635ffffffff,6,0
8407637ffffffff,16,0
84076a1ffffffff,13,0
84076a5ffffffff,35,0
84076a7ffffffff,24,0
84076a9ffffffff,30,0
84076adffffffff,31,0
84076e1ffffffff,2,0
84076e3ffffffff,21,0
84076e5ffffffff,4,0
84076e7ffffffff,18,0
8407713ffffffff,2,0
8408001ffffffff,10,0
8408005ffffffff,10,0
8408007ffffffff,10,0
8408009ffffffff,2,0
840800bffffffff,8,0
840800dffffffff,6,0
8408021ffffffff,30,0
8408023ffffffff,29,0
8408025ffffffff,37,0
8408027ffffffff,30,0
8408029ffffffff,10,0
840802bffffffff,22,0
840802dffffffff,21,0
8408031ffffffff,29,0
8408033ffffffff,26,0
8408035ffffffff,41,0
8408037ffffffff,39,0
8408039ffffffff,12,0
840803bffffffff,15,0
840803dffffffff,21,0
8408051ffffffff,1,0
8408053ffffffff,7,0
8408055ffffffff,1,0
8408057ffffffff,7,0
840805bffffffff,3,0
8408061ffffffff,7,0
8408063ffffffff,7,0
8408065ffffffff,4,0
8408067ffffffff,2,0
840806bffffffff,3,0
840806dffffffff,6,0
8408101ffffffff,37,0
8408103ffffffff,10,0
8408105ffffffff,26,0
8408107ffffffff,10,0
8408109ffffffff,35,0
840810bffffffff,39,0
840810dffffffff,51,0
8408111ffffffff,6,0
8408113ffffffff,7,0
8408115ffffffff,11,0
