hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,1,0
8401047ffffffff,1,0
840105dffffffff,1,0
8401069ffffffff,1,0
840106bffffffff,1,0
8401201ffffffff,1,0
8401207ffffffff,2,0
840120dffffffff,3,0
8401221ffffffff,4,0
8401223ffffffff,3,0
8401225ffffffff,5,0
8401227ffffffff,4,0
8401229ffffffff,3,0
840122bffffffff,4,0
840122dffffffff,1,0
8401231ffffffff,1,0
8401233ffffffff,1,0
8401239ffffffff,1,0
8401245ffffffff,1,0
8401253ffffffff,1,0
840125bffffffff,1,0
8401261ffffffff,9,0
8401263ffffffff,4,0
8401265ffffffff,8,0
8401267ffffffff,7,0
8401269ffffffff,4,0
840126bffffffff,3,0
840126dffffffff,7,0
84012c1ffffffff,1,0
84012c3ffffffff,1,0
84012c9ffffffff,2,0
84012cbffffffff,3,0
8401301ffffffff,1,0
8401309ffffffff,1,0
8401341ffffffff,1,0
8401345ffffffff,1,0
8401347ffffffff,1,0
8401349ffffffff,4,0
840134bffffffff,3,0
840134dffffffff,1,0
8401351ffffffff,8,0
8401355ffffffff,3,0
8401359ffffffff,7,0
840135bffffffff,8,0
840135dffffffff,9,0
8402927ffffffff,3,0
8402931ffffffff,2,0
8402933ffffffff,1,0
8402935ffffffff,6,0
8402937ffffffff,4,0
840293dffffffff,2,0
84029a5ffffffff,1,0
84029a7ffffffff,1,0
84029adffffffff,3,0
84029e5ffffffff,1,0
84029e7ffffffff,1,0
8404809ffffffff,4,0
840480dffffffff,4,0
8404821ffffffff,2,0
8404825ffffffff,1,0
840482dffffffff,2,0
8404851ffffffff,4,0
8404853ffffffff,4,0
8404855ffffffff,4,0
840485bffffffff,4,0
8404861ffffffff,6,0
8404863ffffffff,4,0
8404865ffffffff,4,0
8404867ffffffff,6,0
8404869ffffffff,2,0
8404949ffffffff,2,0
8404959ffffffff,4,0
840495bffffffff,4,0
840495dffffffff,4,0
8404a19ffffffff,3,0
8404a1bffffffff,3,0
8404a41ffffffff,3,0
8404a43ffffffff,3,0
8404a4dffffffff,3,0
8404a55ffffffff,3,0
8404a57ffffffff,3,0
8404a65ffffffff,2,0
8404aa9ffffffff,2,0
8404aadffffffff,4,0
8404ae7ffffffff,2,0
8404b11ffffffff,2,0
8404b13ffffffff,2,0
8404b17ffffffff,2,0
8404b19ffffffff,2,0
8404b21ffffffff,2,0
8404b23ffffffff,2,0
8404b29ffffffff,2,0
8404b53ffffffff,2,0
8404b59ffffffff,2,0
8404b5bffffffff,2,0
8404b61ffffffff,2,0
8404b63ffffffff,2,0
8404b69ffffffff,1,0
8405989ffffffff,3,0
840598bffffffff,3,0
8405991ffffffff,3,0
8405993ffffffff,3,0
8405995ffffffff,2,0
8405999ffffffff,3,0
840599bffffffff,3,0
840599dffffffff,5,0
84059b3ffffffff,2,0
84059bbffffffff,2,0
84059c5ffffffff,3,0
84059c7ffffffff,3,0
84059d1ffffffff,2,0
84059d5ffffffff,2,0
84059d7ffffffff,2,0
84059ddffffffff,2,0
8406281ffffffff,1,0
8406283ffffffff,4,0
8406289ffffffff,3,0
840628bffffffff,6,0
8406291ffffffff,3,0
8406293ffffffff,5,0
8406295ffffffff,1,0
8406297ffffffff,2,0
8406299ffffffff,1,0
840629bffffffff,10,0
840629dffffffff,2,0
84062c3ffffffff,3,0
84062c7ffffffff,1,0
84062cbffffffff,2,0
84062d1ffffffff,12,0
84062d3ffffffff,1,0
84062d5ffffffff,10,0
84062d7ffffffff,2,0
84062d9ffffffff,15,0
84062dbffffffff,1,0
84062ddffffffff,3,0
8406601ffffffff,9,0
8406605ffffffff,15,0
8406607ffffffff,1,0
8406609ffffffff,16,0
840660bffffffff,1,0
840660dffffffff,9,0
8406621ffffffff,19,0
8406625ffffffff,9,0
8406627ffffffff,13,0
8406629ffffffff,12,0
840662bffffffff,16,0
840662dffffffff,20,0
8406631ffffffff,1,0
840663dffffffff,1,0
8406641ffffffff,10,0
8406643ffffffff,6,0
8406645ffffffff,15,0
8406647ffffffff,5,0
8406649ffffffff,8,0
840664bffffffff,4,0
840664dffffffff,19,0
8406655ffffffff,4,0
840665dffffffff,1,0
8406661ffffffff,28,0
8406663ffffffff,15,0
8406665ffffffff,29,0
8406667ffffffff,21,0
8406669ffffffff,28,0
840666bffffffff,20,0
840666dffffffff,25,0
8406703ffffffff,16,0
8406709ffffffff,2,0
840670bffffffff,3,0
8406711ffffffff,1,0
8406713ffffffff,5,0
8406715ffffffff,11,0
8406717ffffffff,2,0
8406719ffffffff,1,0
840671dffffffff,26,0
8406739ffffffff,4,0
8406741ffffffff,1,0
8406743ffffffff,11,0
8406749ffffffff,2,0
840674bffffffff,5,0
8406751ffffffff,24,0
8406753ffffffff,10,0
8406755ffffffff,3,0
8406757ffffffff,29,0
8406759ffffffff,17,0
840675bffffffff,23,0
840675dffffffff,9,0
84072c5ffffffff,1,0
84072e9ffffffff,1,0
8407401ffffffff,13,0
8407403ffffffff,5,0
8407405ffffffff,15,0
8407407ffffffff,6,0
8407409ffffffff,9,0
840740bffffffff,5,0
840740dffffffff,5,0
8407411ffffffff,31,0
8407413ffffffff,19,0
8407415ffffffff,24,0
8407417ffffffff,34,0
8407419ffffffff,16,0
840741bffffffff,22,0
840741dffffffff,20,0
8407421ffffffff,1,0
8407423ffffffff,18,0
8407427ffffffff,1,0
8407429ffffffff,3,0
840742bffffffff,17,0
840742dffffffff,5,0
8407431ffffffff,8,0
8407433ffffffff,49,0
8407435ffffffff,5,0
8407437ffffffff,12,0
8407439ffffffff,5,0
840743bffffffff,27,0
840743dffffffff,3,0
8407443ffffffff,13,0
8407445ffffffff,5,0
8407447ffffffff,3,0
8407449ffffffff,1,0
840744bffffffff,8,0
8407451ffffffff,18,0
8407453ffffffff,16,0
8407455ffffffff,4,0
8407457ffffffff,19,0
8407459ffffffff,4,0
840745bffffffff,12,0
840745dffffffff,3,0
8407461ffffffff,11,0
8407463ffffffff,4,0
8407467ffffffff,10,0
8407469ffffffff,10,0
