hex,count_good_aircraft,count_bad_aircraft
8401201ffffffff,1,0
8401207ffffffff,1,0
8401221ffffffff,4,0
8401223ffffffff,1,0
8401225ffffffff,4,0
8401227ffffffff,2,0
8401229ffffffff,1,0
840122bffffffff,3,0
8401231ffffffff,1,0
8401233ffffffff,1,0
8401239ffffffff,1,0
8401245ffffffff,1,0
8401261ffffffff,8,0
8401263ffffffff,2,0
8401265ffffffff,7,0
8401267ffffffff,6,0
8401269ffffffff,3,0
840126bffffffff,1,0
840126dffffffff,5,0
8401343ffffffff,1,0
8401345ffffffff,1,0
840134bffffffff,1,0
8401351ffffffff,8,0
8401353ffffffff,1,0
8401355ffffffff,5,0
8401357ffffffff,2,0
8401359ffffffff,8,1
840135bffffffff,5,1
840135dffffffff,10,0
8402927ffffffff,1,0
840293dffffffff,1,0
8404809ffffffff,1,0
840480dffffffff,1,0
8404851ffffffff,1,0
8404853ffffffff,1,0
8404855ffffffff,1,0
840485bffffffff,1,0
8404861ffffffff,1,0
8404863ffffffff,1,0
8404865ffffffff,1,0
8404867ffffffff,1,0
8404949ffffffff,3,0
8404959ffffffff,1,0
840495bffffffff,1,0
840495dffffffff,1,0
8404a19ffffffff,2,0
8404a1bffffffff,1,0
8404a41ffffffff,2,0
8404a43ffffffff,2,0
8404a4dffffffff,2,0
8404a55ffffffff,2,0
8404a57ffffffff,2,0
8404aadffffffff,1,0
8404b21ffffffff,3,0
8404b23ffffffff,3,0
8404b25ffffffff,1,0
8404b29ffffffff,3,0
8404b2bffffffff,1,0
8404b61ffffffff,3,0
8404b63ffffffff,3,0
8404b65ffffffff,1,0
8404b69ffffffff,3,0
8404b6bffffffff,1,0
8405933ffffffff,1,0
8405989ffffffff,2,0
840598bffffffff,2,0
8405991ffffffff,2,0
8405993ffffffff,2,0
8405999ffffffff,2,0
840599bffffffff,2,0
840599dffffffff,2,0
84059c5ffffffff,2,0
84059c7ffffffff,2,0
840600bffffffff,1,0
8406051ffffffff,1,0
8406057ffffffff,1,0
840605bffffffff,1,0
8406203ffffffff,1,0
840620bffffffff,1,0
8406217ffffffff,1,0
840621dffffffff,1,0
8406231ffffffff,1,0
840623dffffffff,1,0
8406257ffffffff,1,0
8406281ffffffff,1,0
8406283ffffffff,5,0
8406289ffffffff,6,0
840628bffffffff,4,0
8406291ffffffff,4,0
8406293ffffffff,2,0
8406295ffffffff,3,0
8406297ffffffff,4,0
8406299ffffffff,7,0
840629bffffffff,4,0
840629dffffffff,7,0
84062b9ffffffff,2,0
84062c3ffffffff,1,0
84062cbffffffff,1,0
84062d1ffffffff,9,0
