hex,count_good_aircraft,count_bad_aircraft
8400cbdffffffff,0,1
8401043ffffffff,2,0
8401047ffffffff,2,0
8401059ffffffff,4,0
840105bffffffff,1,0
840105dffffffff,2,0
8401069ffffffff,1,0
840106bffffffff,2,0
8401201ffffffff,4,0
8401207ffffffff,4,0
840120dffffffff,5,0
8401219ffffffff,1,0
8401221ffffffff,6,0
8401223ffffffff,5,0
8401225ffffffff,5,0
8401227ffffffff,4,0
840122bffffffff,2,0
840122dffffffff,3,0
8401231ffffffff,5,0
8401233ffffffff,5,0
8401235ffffffff,1,0
8401239ffffffff,4,0
840124bffffffff,1,0
840125bffffffff,1,0
8401261ffffffff,6,0
8401263ffffffff,3,0
8401265ffffffff,5,0
8401267ffffffff,5,0
8401269ffffffff,1,0
840126bffffffff,3,0
840126dffffffff,4,0
84012c1ffffffff,2,0
84012c3ffffffff,3,0
84012c9ffffffff,2,0
84012cbffffffff,3,0
8401301ffffffff,1,0
8401309ffffffff,1,1
840130dffffffff,1,0
8401351ffffffff,8,0
8401355ffffffff,2,0
8401359ffffffff,6,1
840135bffffffff,4,1
840135dffffffff,8,0
840322bffffffff,1,0
8403231ffffffff,1,0
840323bffffffff,1,0
84032a3ffffffff,1,0
8405659ffffffff,0,1
8406281ffffffff,5,0
8406283ffffffff,8,0
8406289ffffffff,4,0
840628bffffffff,8,0
8406291ffffffff,6,0
8406293ffffffff,9,0
8406295ffffffff,8,0
8406297ffffffff,7,0
8406299ffffffff,12,0
840629bffffffff,10,0
840629dffffffff,8,0
84062b1ffffffff,1,0
84062b9ffffffff,5,0
84062bbffffffff,1,0
84062c3ffffffff,2,0
84062c7ffffffff,1,0
84062cbffffffff,2,0
84062d1ffffffff,10,0
84062d3ffffffff,11,0
84062d5ffffffff,8,0
84062d7ffffffff,9,0
84062d9ffffffff,9,0
84062dbffffffff,8,0
84062ddffffffff,4,0
840644dffffffff,2,0
8406469ffffffff,1,0
8406601ffffffff,13,0
8406605ffffffff,9,0
8406607ffffffff,6,0
8406609ffffffff,17,0
840660bffffffff,1,0
840660dffffffff,17,0
8406615ffffffff,1,0
8406621ffffffff,20,0
8406625ffffffff,14,0
8406627ffffffff,12,0
8406629ffffffff,15,0
840662bffffffff,9,0
840662dffffffff,22,0
840663dffffffff,6,0
8406641ffffffff,20,0
8406643ffffffff,6,0
8406645ffffffff,13,0
8406647ffffffff,15,0
8406649ffffffff,14,0
840664bffffffff,3,0
840664dffffffff,12,0
8406655ffffffff,2,0
8406661ffffffff,29,0
8406663ffffffff,15,0
8406665ffffffff,10,0
8406667ffffffff,24,0
8406669ffffffff,26,0
840666bffffffff,19,0
840666dffffffff,18,0
8406703ffffffff,10,0
8406709ffffffff,1,0
840670bffffffff,1,0
8406711ffffffff,2,0
8406713ffffffff,1,0
8406715ffffffff,15,0
8406719ffffffff,3,0
840671dffffffff,33,0
8406739ffffffff,1,0
840673bffffffff,2,0
8406741ffffffff,2,0
8406743ffffffff,3,0
8406749ffffffff,3,0
840674bffffffff,9,0
8406751ffffffff,40,0
8406753ffffffff,5,0
8406755ffffffff,3,0
8406757ffffffff,41,0
8406759ffffffff,36,0
840675bffffffff,11,0
840675dffffffff,4,0
840676dffffffff,3,0
8407401ffffffff,14,0
8407403ffffffff,9,0
8407405ffffffff,16,0
8407407ffffffff,8,0
8407409ffffffff,11,0
840740bffffffff,13,0
840740dffffffff,15,0
8407411ffffffff,48,0
8407413ffffffff,44,0
8407415ffffffff,61,0
8407417ffffffff,46,0
8407419ffffffff,33,0
840741bffffffff,43,0
840741dffffffff,46,0
8407421ffffffff,2,0
8407423ffffffff,20,0
8407425ffffffff,1,0
8407427ffffffff,6,0
8407429ffffffff,4,0
840742bffffffff,21,0
840742dffffffff,9,0
8407431ffffffff,31,0
8407433ffffffff,70,0
8407435ffffffff,9,0
8407437ffffffff,32,0
8407439ffffffff,12,0
840743bffffffff,65,0
840743dffffffff,4,0
8407441ffffffff,5,0
8407443ffffffff,15,0
8407445ffffffff,2,0
8407447ffffffff,8,0
8407449ffffffff,2,0
840744bffffffff,18,0
8407451ffffffff,39,0
8407453ffffffff,22,0
8407455ffffffff,11,0
8407457ffffffff,43,0
8407459ffffffff,5,0
840745bffffffff,20,0
840745dffffffff,7,0
8407461ffffffff,5,0
8407463ffffffff,11,0
8407467ffffffff,14,0
8407469ffffffff,6,0
840746bffffffff,9,0
8407481ffffffff,6,0
8407485ffffffff,9,0
8407487ffffffff,6,0
8407489ffffffff,12,0
840748bffffffff,5,0
840748dffffffff,4,0
8407495ffffffff,1,0
84074a1ffffffff,19,0
84074a3ffffffff,1,0
84074a5ffffffff,9,0
84074a7ffffffff,12,0
84074a9ffffffff,18,0
84074abffffffff,15,0
84074adffffffff,7,0
84074b1ffffffff,1,0
84074b9ffffffff,14,0
84074bbffffffff,1,0
84074bdffffffff,7,0
84074c1ffffffff,11,0
84074c3ffffffff,17,0
84074c5ffffffff,50,0
84074c7ffffffff,9,0
84074c9ffffffff,16,0
84074cbffffffff,3,0
84074cdffffffff,36,0
84074d5ffffffff,9,0
84074ddffffffff,1,0
84074e1ffffffff,43,0
84074e3ffffffff,25,0
84074e5ffffffff,64,0
84074e7ffffffff,26,0
84074e9ffffffff,52,0
84074ebffffffff,31,0
84074edffffffff,55,0
8407511ffffffff,9,0
8407513ffffffff,4,0
8407515ffffffff,6,0
8407517ffffffff,10,0
8407519ffffffff,1,0
840751bffffffff,1,0
8407531ffffffff,4,0
8407533ffffffff,8,0
8407537ffffffff,1,0
8407539ffffffff,9,0
840753bffffffff,7,0
840753dffffffff,2,0
8407581ffffffff,10,0
8407583ffffffff,21,0
8407585ffffffff,7,0
8407587ffffffff,19,0
8407589ffffffff,8,0
