hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,2,0
8401047ffffffff,2,0
8401059ffffffff,3,0
840105bffffffff,3,0
840105dffffffff,2,0
8401069ffffffff,1,0
840106bffffffff,2,0
8401201ffffffff,4,0
8401203ffffffff,3,0
8401205ffffffff,4,0
8401207ffffffff,4,0
840120dffffffff,1,0
8401221ffffffff,4,0
8401223ffffffff,1,0
8401225ffffffff,4,0
8401227ffffffff,4,0
8401229ffffffff,2,0
840122dffffffff,2,0
8401231ffffffff,2,0
8401233ffffffff,2,0
8401239ffffffff,2,0
8401243ffffffff,3,1
8401245ffffffff,1,0
8401247ffffffff,2,0
8401249ffffffff,2,0
840124bffffffff,5,0
8401253ffffffff,5,0
840125bffffffff,1,0
840125dffffffff,3,0
8401261ffffffff,8,0
8401263ffffffff,5,0
8401265ffffffff,6,0
8401267ffffffff,8,2
8401269ffffffff,2,0
840126bffffffff,2,0
840126dffffffff,2,1
84012c1ffffffff,3,0
84012c3ffffffff,4,0
84012c7ffffffff,3,0
84012c9ffffffff,1,0
84012cbffffffff,4,0
84012d5ffffffff,1,0
8401303ffffffff,1,1
8401351ffffffff,7,1
8401355ffffffff,1,0
8401357ffffffff,1,0
8401359ffffffff,6,3
840135bffffffff,1,0
840135dffffffff,6,2
840322dffffffff,1,0
8403231ffffffff,1,0
840323bffffffff,1,0
8403267ffffffff,1,0
84032a7ffffffff,1,0
8403339ffffffff,1,1
8404861ffffffff,1,0
8404867ffffffff,1,0
8404869ffffffff,1,0
8404949ffffffff,3,0
8404a65ffffffff,1,0
8404b11ffffffff,1,0
8404b13ffffffff,1,0
8404b17ffffffff,1,0
8404b19ffffffff,1,0
8404b21ffffffff,3,0
8404b23ffffffff,3,0
8404b29ffffffff,3,0
8404b53ffffffff,1,0
8404b59ffffffff,1,0
8404b5bffffffff,1,0
8404b61ffffffff,2,0
8404b63ffffffff,1,0
8404b67ffffffff,1,0
8404b69ffffffff,1,0
8404b6dffffffff,1,0
8406281ffffffff,2,0
8406283ffffffff,7,0
8406289ffffffff,3,0
840628bffffffff,6,0
8406291ffffffff,4,0
8406293ffffffff,7,0
8406295ffffffff,4,0
8406297ffffffff,4,0
8406299ffffffff,3,0
840629bffffffff,11,0
840629dffffffff,5,0
84062b9ffffffff,4,0
84062bbffffffff,5,0
84062bdffffffff,1,0
84062c1ffffffff,1,0
84062c3ffffffff,4,0
84062c7ffffffff,3,0
84062cbffffffff,4,0
84062d1ffffffff,6,0
84062d3ffffffff,5,0
84062d5ffffffff,6,0
84062d7ffffffff,4,0
84062d9ffffffff,6,0
84062dbffffffff,5,0
840644dffffffff,1,0
8406601ffffffff,16,0
8406603ffffffff,25,0
8406605ffffffff,14,0
8406607ffffffff,4,0
8406609ffffffff,19,0
840660bffffffff,32,0
840660dffffffff,9,0
8406615ffffffff,1,0
840661dffffffff,1,0
8406621ffffffff,36,0
8406625ffffffff,26,0
8406627ffffffff,19,0
8406629ffffffff,24,0
840662bffffffff,13,0
840662dffffffff,34,0
8406631ffffffff,1,0
8406639ffffffff,6,0
8406641ffffffff,7,0
8406643ffffffff,2,0
8406645ffffffff,18,0
8406647ffffffff,7,0
8406649ffffffff,2,0
840664bffffffff,1,0
840664dffffffff,23,0
8406655ffffffff,2,0
840665dffffffff,2,0
8406661ffffffff,36,0
8406663ffffffff,24,0
8406665ffffffff,50,0
8406667ffffffff,26,0
8406669ffffffff,31,0
840666bffffffff,27,0
840666dffffffff,60,0
8406703ffffffff,35,0
8406709ffffffff,1,0
840670bffffffff,6,0
8406713ffffffff,1,0
8406715ffffffff,35,0
8406719ffffffff,1,0
840671dffffffff,72,0
8406739ffffffff,5,0
8406741ffffffff,2,0
8406743ffffffff,7,0
8406745ffffffff,1,0
8406749ffffffff,9,0
840674bffffffff,24,0
840674dffffffff,1,0
8406751ffffffff,73,0
8406753ffffffff,2,0
8406755ffffffff,9,0
8406757ffffffff,77,0
8406759ffffffff,73,0
840675bffffffff,9,0
840675dffffffff,19,0
840676bffffffff,1,0
840676dffffffff,3,0
8407401ffffffff,10,0
8407403ffffffff,19,0
8407405ffffffff,15,0
8407407ffffffff,8,0
8407409ffffffff,6,0
840740bffffffff,20,0
840740dffffffff,14,0
8407411ffffffff,49,0
8407413ffffffff,79,0
8407415ffffffff,60,0
8407417ffffffff,59,0
8407419ffffffff,30,0
