hex,count_good_aircraft,count_bad_aircraft
84344c5ffffffff,88,0
8464a23ffffffff,34,0
8410817ffffffff,26,0
8401359ffffffff,8,0
845e68bffffffff,6,0
8440f45ffffffff,19,0
845e0c5ffffffff,1,0
844b0e5ffffffff,7,0
8419037ffffffff,4,0
842609bffffffff,249,0
8426317ffffffff,92,0
8428dc9ffffffff,48,0
8460abbffffffff,76,0
846d541ffffffff,1,0
8468a05ffffffff,8,0
841ab55ffffffff,28,0
84450a9ffffffff,9,0
843c9d7ffffffff,21,0
843d951ffffffff,59,0
8426a37ffffffff,161,0
84455abffffffff,2,0
8401247ffffffff,1,0
84a81a5ffffffff,46,0
848e639ffffffff,28,0
8444cdbffffffff,306,0
84164ddffffffff,5,0
84292cdffffffff,2,0
8441b03ffffffff,231,0
8475009ffffffff,7,0
84288c9ffffffff,58,0
8419483ffffffff,232,0
846522dffffffff,120,0
8426aa7ffffffff,979,0
84650e5ffffffff,78,0
847b48dffffffff,15,0
8442acbffffffff,4,0
842c2a7ffffffff,9,0
8410c59ffffffff,4,0
84b84d9ffffffff,5,0
84619e7ffffffff,11,0
842adebffffffff,77,0
84a8e49ffffffff,10,0
84a7a43ffffffff,4,0
84c9947ffffffff,4,0
84289a5ffffffff,94,0
8429227ffffffff,1,0
842e6b9ffffffff,44,0
8467099ffffffff,17,0
844a22bffffffff,5,0
84342adffffffff,3,0
84bb099ffffffff,19,0
84be52bffffffff,23,0
84384e5ffffffff,3,0
8444691ffffffff,262,0
843f20bffffffff,67,0
844ba09ffffffff,137,0
841e9b3ffffffff,71,0
849d053ffffffff,44,0
842bac5ffffffff,121,0
848ba0bffffffff,10,0
846410bffffffff,2,0
842a9a5ffffffff,436,0
846795dffffffff,11,0
84181e5ffffffff,36,0
84bcdc7ffffffff,1,0
843caa9ffffffff,124,0
8467509ffffffff,7,0
8429b29ffffffff,419,0
84bb0ddffffffff,22,0
844501dffffffff,12,0
849d0b9ffffffff,29,0
848f5a7ffffffff,4,0
84458a9ffffffff,3,0
84194b9ffffffff,346,0
840bb27ffffffff,3,0
842d9b9ffffffff,4,0
840ce9dffffffff,1,0
8422eabffffffff,14,0
