hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,3,0
8401047ffffffff,3,0
8401055ffffffff,1,0
8401059ffffffff,6,0
840105bffffffff,1,0
840105dffffffff,4,0
8401069ffffffff,3,0
840106bffffffff,3,0
8401201ffffffff,5,0
8401203ffffffff,2,0
8401205ffffffff,2,0
8401207ffffffff,5,0
840120dffffffff,6,0
8401211ffffffff,1,0
8401219ffffffff,1,0
840121bffffffff,1,0
8401221ffffffff,6,0
8401223ffffffff,1,0
8401225ffffffff,6,0
8401227ffffffff,5,0
8401229ffffffff,2,0
840122bffffffff,4,0
840122dffffffff,1,0
8401231ffffffff,4,0
8401233ffffffff,4,0
8401239ffffffff,4,0
8401247ffffffff,1,0
840124bffffffff,1,0
8401253ffffffff,1,0
840125bffffffff,1,0
8401261ffffffff,8,0
8401263ffffffff,3,0
8401265ffffffff,6,0
8401267ffffffff,6,0
8401269ffffffff,1,0
840126bffffffff,4,0
840126dffffffff,4,0
8401289ffffffff,1,0
84012c1ffffffff,5,0
84012c3ffffffff,3,0
84012c9ffffffff,3,0
84012cbffffffff,6,0
84012cdffffffff,1,0
84012e5ffffffff,2,0
8401301ffffffff,3,0
8401303ffffffff,3,0
8401309ffffffff,3,1
8401345ffffffff,1,1
8401347ffffffff,2,2
8401349ffffffff,3,2
840134bffffffff,3,0
8401351ffffffff,9,0
8401353ffffffff,2,0
8401355ffffffff,1,0
8401359ffffffff,3,0
840135bffffffff,3,0
840135dffffffff,12,0
8406281ffffffff,6,0
8406283ffffffff,8,0
8406285ffffffff,1,0
8406287ffffffff,1,0
8406289ffffffff,11,0
840628bffffffff,6,0
840628dffffffff,4,0
8406291ffffffff,3,0
8406293ffffffff,7,0
8406295ffffffff,3,0
8406297ffffffff,3,0
8406299ffffffff,4,0
840629bffffffff,9,0
840629dffffffff,5,0
84062b1ffffffff,1,0
84062b9ffffffff,2,0
84062c1ffffffff,3,0
84062c3ffffffff,6,0
84062c7ffffffff,4,0
84062cbffffffff,3,0
84062d1ffffffff,8,0
84062d3ffffffff,7,0
84062d5ffffffff,11,0
84062d7ffffffff,9,0
84062d9ffffffff,13,0
84062dbffffffff,7,0
84062ddffffffff,9,0
8406601ffffffff,21,0
8406603ffffffff,2,0
8406605ffffffff,11,0
8406607ffffffff,13,0
8406609ffffffff,19,0
840660bffffffff,5,0
840660dffffffff,24,0
8406615ffffffff,5,0
840661dffffffff,5,0
8406621ffffffff,14,0
8406625ffffffff,12,0
8406627ffffffff,10,0
8406629ffffffff,10,0
840662bffffffff,8,0
840662dffffffff,24,0
8406631ffffffff,1,0
8406639ffffffff,10,0
840663dffffffff,11,0
8406641ffffffff,22,0
8406643ffffffff,8,0
8406645ffffffff,8,0
8406647ffffffff,22,0
8406649ffffffff,14,0
840664bffffffff,2,0
840664dffffffff,9,0
8406655ffffffff,3,0
8406661ffffffff,21,0
8406663ffffffff,7,0
8406665ffffffff,26,0
8406667ffffffff,23,0
8406669ffffffff,13,0
840666bffffffff,9,0
840666dffffffff,34,0
8406703ffffffff,9,0
8406709ffffffff,4,0
840670bffffffff,5,0
8406713ffffffff,2,0
8406715ffffffff,10,0
8406719ffffffff,5,0
840671dffffffff,34,0
8406739ffffffff,6,0
840673bffffffff,1,0
8406741ffffffff,1,0
8406743ffffffff,13,0
8406745ffffffff,1,0
8406749ffffffff,6,0
840674bffffffff,22,0
840674dffffffff,2,0
8406751ffffffff,30,0
8406753ffffffff,5,0
8406755ffffffff,12,0
8406757ffffffff,38,0
8406759ffffffff,29,0
840675bffffffff,10,0
840675dffffffff,16,0
840676dffffffff,2,0
8407401ffffffff,8,0
8407403ffffffff,16,0
8407405ffffffff,13,0
8407407ffffffff,13,0
8407409ffffffff,6,0
840740bffffffff,20,0
840740dffffffff,11,0
8407411ffffffff,43,0
8407413ffffffff,45,0
8407415ffffffff,53,0
8407417ffffffff,43,0
8407419ffffffff,32,0
840741bffffffff,33,0
840741dffffffff,49,0
8407421ffffffff,6,0
8407423ffffffff,24,0
8407425ffffffff,1,0
8407427ffffffff,13,0
8407429ffffffff,6,0
840742bffffffff,25,0
840742dffffffff,4,0
8407431ffffffff,23,0
8407433ffffffff,72,1
8407435ffffffff,12,0
8407437ffffffff,28,0
8407439ffffffff,13,0
840743bffffffff,57,0
840743dffffffff,4,0
8407441ffffffff,9,0
8407443ffffffff,7,0
8407445ffffffff,4,0
8407447ffffffff,8,0
8407449ffffffff,9,0
840744bffffffff,10,0
8407451ffffffff,44,0
8407453ffffffff,34,0
8407455ffffffff,14,0
8407457ffffffff,49,0
8407459ffffffff,10,0
840745bffffffff,31,0
840745dffffffff,11,0
8407461ffffffff,10,0
8407463ffffffff,4,0
8407467ffffffff,10,0
8407469ffffffff,13,0
840746bffffffff,3,0
8407481ffffffff,5,0
8407483ffffffff,1,0
8407485ffffffff,9,0
8407487ffffffff,4,0
8407489ffffffff,13,0
840748bffffffff,14,0
840748dffffffff,11,0
8407495ffffffff,1,0
84074a1ffffffff,26,0
84074a3ffffffff,3,0
84074a5ffffffff,15,0
84074a7ffffffff,9,0
84074a9ffffffff,25,0
84074abffffffff,14,0
84074adffffffff,13,0
84074b1ffffffff,2,0
84074b9ffffffff,27,0
84074bbffffffff,1,0
84074bdffffffff,6,0
84074c1ffffffff,11,0
84074c3ffffffff,17,0
84074c5ffffffff,50,0
84074c7ffffffff,11,0
84074c9ffffffff,12,0
84074cbffffffff,2,0
84074cdffffffff,42,0
84074d5ffffffff,32,0
84074ddffffffff,1,0
84074e1ffffffff,41,0
84074e3ffffffff,28,0
84074e5ffffffff,47,0
84074e7ffffffff,36,0
84074e9ffffffff,53,0
84074ebffffffff,42,0
84074edffffffff,44,0
8407511ffffffff,12,0
8407513ffffffff,10,0
8407515ffffffff,9,0
8407517ffffffff,8,0
8407519ffffffff,2,0
840751bffffffff,1,0
8407531ffffffff,4,0
8407533ffffffff,11,0
8407535ffffffff,1,0
8407537ffffffff,3,0
8407539ffffffff,3,0
840753bffffffff,10,0
840753dffffffff,7,0
840755bffffffff,5,0
8407581ffffffff,11,0
8407583ffffffff,26,0
8407585ffffffff,9,0
8407587ffffffff,16,0
8407589ffffffff,8,0
840758bffffffff,18,0
840758dffffffff,5,0
8407591ffffffff,33,0
8407593ffffffff,11,0
8407595ffffffff,47,0
8407597ffffffff,43,0
8407599ffffffff,20,0
840759bffffffff,8,0
840759dffffffff,62,0
84075a1ffffffff,5,0
84075a3ffffffff,11,0
84075a5ffffffff,8,0
84075a7ffffffff,5,0
84075a9ffffffff,6,0
84075abffffffff,8,0
84075adffffffff,8,0
84075b1ffffffff,26,0
84075b3ffffffff,37,0
84075b5ffffffff,23,0
84075b7ffffffff,27,0
84075b9ffffffff,30,0
84075bbffffffff,30,0
84075bdffffffff,20,0
84075c1ffffffff,13,0
84075c3ffffffff,12,0
84075c5ffffffff,14,0
84075c7ffffffff,11,0
84075c9ffffffff,11,0
84075cbffffffff,10,0
84075cdffffffff,15,0
84075d1ffffffff,107,0
84075d3ffffffff,25,0
84075d5ffffffff,12,0
84075d7ffffffff,68,0
84075d9ffffffff,88,1
84075dbffffffff,64,0
84075ddffffffff,37,0
84075e1ffffffff,10,0
84075e3ffffffff,10,0
84075e5ffffffff,10,0
84075e7ffffffff,8,0
84075e9ffffffff,16,0
84075ebffffffff,14,0
84075edffffffff,10,0
8407623ffffffff,1,0
8407631ffffffff,6,0
8407633ffffffff,1,0
8407635ffffffff,7,0
8407637ffffffff,14,0
84076a1ffffffff,23,0
84076a5ffffffff,25,0
84076a7ffffffff,33,0
84076a9ffffffff,28,0
84076adffffffff,33,0
84076dbffffffff,1,0
84076e1ffffffff,8,0
84076e3ffffffff,27,0
84076e5ffffffff,6,0
84076e7ffffffff,30,0
84076ebffffffff,1,0
8407713ffffffff,4,0
8408001ffffffff,10,0
8408005ffffffff,8,0
8408007ffffffff,10,0
8408009ffffffff,4,0
840800bffffffff,11,0
840800dffffffff,9,0
8408021ffffffff,24,0
8408023ffffffff,34,0
8408025ffffffff,53,0
8408027ffffffff,39,0
8408029ffffffff,17,0
840802bffffffff,21,0
840802dffffffff,21,0
8408031ffffffff,24,0
8408033ffffffff,33,0
8408035ffffffff,48,0
8408037ffffffff,46,0
8408039ffffffff,12,0
840803bffffffff,19,0
840803dffffffff,24,0
8408041ffffffff,2,0
8408043ffffffff,1,0
8408045ffffffff,1,0
8408047ffffffff,2,0
8408049ffffffff,2,0
