hex,count_good_aircraft,count_bad_aircraft
8401043ffffffff,1,0
8401047ffffffff,1,0
8401059ffffffff,1,0
840105dffffffff,1,0
840106bffffffff,1,0
8401201ffffffff,3,0
8401207ffffffff,3,0
8401221ffffffff,5,0
8401225ffffffff,5,0
8401227ffffffff,4,0
8401229ffffffff,1,0
840122bffffffff,1,0
840122dffffffff,1,0
8401231ffffffff,3,0
8401233ffffffff,3,0
8401239ffffffff,3,0
8401245ffffffff,3,0
840124bffffffff,1,0
840125bffffffff,1,0
8401261ffffffff,6,0
8401263ffffffff,1,0
8401265ffffffff,4,0
8401267ffffffff,4,1
8401269ffffffff,1,0
840126bffffffff,1,0
840126dffffffff,2,0
84012c1ffffffff,2,0
84012c3ffffffff,1,0
84012c9ffffffff,2,0
84012cbffffffff,2,0
8401301ffffffff,1,1
8401351ffffffff,8,0
8401355ffffffff,2,0
8401359ffffffff,2,0
840135bffffffff,3,1
840135dffffffff,10,0
8403315ffffffff,1,0
8404809ffffffff,2,0
840480dffffffff,1,0
8404821ffffffff,1,0
8404851ffffffff,2,0
8404855ffffffff,1,0
840485bffffffff,1,0
8404861ffffffff,2,0
8404863ffffffff,2,0
8404865ffffffff,2,0
8404867ffffffff,3,0
8404869ffffffff,1,0
8404949ffffffff,1,0
8404959ffffffff,2,0
8404a41ffffffff,1,0
8404a43ffffffff,1,0
8404a49ffffffff,1,0
8404a4bffffffff,1,0
8404a4dffffffff,1,0
8404a55ffffffff,1,0
8404a57ffffffff,1,0
8404a5dffffffff,1,0
8404a65ffffffff,1,0
8404b11ffffffff,1,0
8404b13ffffffff,1,0
8404b17ffffffff,1,0
8404b19ffffffff,1,0
8404b21ffffffff,2,0
8404b23ffffffff,2,0
8404b29ffffffff,2,0
8404b53ffffffff,1,0
8404b5bffffffff,1,0
8404b61ffffffff,2,0
8404b63ffffffff,2,0
8404b69ffffffff,2,0
8405993ffffffff,1,0
8405999ffffffff,1,0
840599bffffffff,1,0
840599dffffffff,1,0
8406281ffffffff,3,0
8406283ffffffff,5,0
8406287ffffffff,2,0
8406289ffffffff,3,0
840628bffffffff,5,0
8406291ffffffff,3,0
8406293ffffffff,4,0
8406295ffffffff,1,0
8406297ffffffff,3,0
8406299ffffffff,4,0
840629bffffffff,4,0
840629dffffffff,3,0
84062b9ffffffff,2,0
84062bdffffffff,1,0
84062c1ffffffff,1,0
84062c3ffffffff,3,0
84062c7ffffffff,2,0
84062cbffffffff,3,0
84062d1ffffffff,5,0
84062d3ffffffff,5,0
84062d5ffffffff,7,0
84062d7ffffffff,3,0
84062d9ffffffff,6,0
84062dbffffffff,5,0
84062ddffffffff,6,0
840644dffffffff,2,0
8406601ffffffff,42,0
8406603ffffffff,27,0
8406605ffffffff,17,0
8406607ffffffff,19,0
8406609ffffffff,51,0
840660bffffffff,48,0
840660dffffffff,15,0
8406615ffffffff,18,0
840661dffffffff,19,0
8406621ffffffff,42,0
8406625ffffffff,23,0
8406627ffffffff,34,0
8406629ffffffff,34,0
840662bffffffff,18,0
840662dffffffff,33,0
8406631ffffffff,5,0
8406639ffffffff,20,0
840663dffffffff,8,0
8406641ffffffff,7,0
8406643ffffffff,25,0
8406645ffffffff,28,0
8406647ffffffff,3,0
8406649ffffffff,6,0
840664bffffffff,6,0
840664dffffffff,38,0
8406655ffffffff,15,0
840665dffffffff,14,0
8406661ffffffff,42,0
8406663ffffffff,29,0
8406665ffffffff,23,0
8406667ffffffff,26,0
8406669ffffffff,38,0
840666bffffffff,34,0
840666dffffffff,19,0
8406703ffffffff,17,0
8406709ffffffff,3,0
840670bffffffff,1,0
8406711ffffffff,4,0
8406713ffffffff,6,0
8406715ffffffff,24,0
8406717ffffffff,1,0
8406719ffffffff,7,0
840671bffffffff,3,0
840671dffffffff,47,0
8406739ffffffff,7,0
840673bffffffff,1,0
8406741ffffffff,1,0
8406743ffffffff,11,0
8406749ffffffff,13,0
840674bffffffff,5,0
840674dffffffff,1,0
8406751ffffffff,45,0
8406753ffffffff,13,0
8406755ffffffff,2,0
8406757ffffffff,48,0
8406759ffffffff,35,0
840675bffffffff,29,0
840675dffffffff,9,0
8407401ffffffff,11,0
8407403ffffffff,15,0
8407405ffffffff,13,0
8407407ffffffff,8,0
8407409ffffffff,11,0
840740bffffffff,12,0
840740dffffffff,13,0
8407411ffffffff,48,1
8407413ffffffff,43,0
8407415ffffffff,47,0
8407417ffffffff,56,0
8407419ffffffff,37,0
840741bffffffff,34,0
840741dffffffff,41,0
8407421ffffffff,3,0
8407423ffffffff,19,0
8407427ffffffff,5,0
8407429ffffffff,4,0
840742bffffffff,16,0
840742dffffffff,2,0
8407431ffffffff,24,0
8407433ffffffff,69,0
8407435ffffffff,6,0
8407437ffffffff,29,0
8407439ffffffff,17,0
840743bffffffff,54,0
840743dffffffff,6,0
8407441ffffffff,6,0
8407443ffffffff,8,0
8407445ffffffff,1,0
8407447ffffffff,6,0
8407449ffffffff,5,0
840744bffffffff,8,0
8407451ffffffff,32,0
8407453ffffffff,34,0
8407455ffffffff,13,0
8407457ffffffff,34,0
8407459ffffffff,15,0
840745bffffffff,30,0
840745dffffffff,11,0
8407461ffffffff,5,0
8407463ffffffff,2,0
8407465ffffffff,4,0
8407467ffffffff,6,0
8407469ffffffff,8,0
840746bffffffff,1,0
840746dffffffff,1,0
8407481ffffffff,20,0
8407483ffffffff,6,0
8407485ffffffff,19,0
8407487ffffffff,14,0
8407489ffffffff,56,0
840748bffffffff,14,0
840748dffffffff,18,0
8407495ffffffff,1,0
84074a1ffffffff,38,0
84074a3ffffffff,7,0
84074a5ffffffff,24,0
84074a7ffffffff,37,0
84074a9ffffffff,31,0
84074abffffffff,18,0
84074adffffffff,22,0
84074b1ffffffff,6,0
84074b5ffffffff,2,0
84074b9ffffffff,43,0
84074bbffffffff,6,0
84074bdffffffff,29,0
84074c1ffffffff,5,0
84074c3ffffffff,55,0
84074c5ffffffff,36,0
84074c7ffffffff,8,0
84074c9ffffffff,10,0
