hex,count_good_aircraft,count_bad_aircraft
8401201ffffffff,1,0
8401207ffffffff,1,0
8401221ffffffff,3,0
8401223ffffffff,1,0
8401225ffffffff,2,0
8401227ffffffff,1,0
8401229ffffffff,1,0
840122bffffffff,2,0
840122dffffffff,1,0
8401233ffffffff,1,0
8401245ffffffff,1,0
840124bffffffff,1,0
8401261ffffffff,6,0
8401263ffffffff,1,0
8401265ffffffff,5,0
8401267ffffffff,4,0
8401269ffffffff,2,0
840126bffffffff,3,0
840126dffffffff,3,1
84012c3ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,2,0
84012ddffffffff,1,0
8401351ffffffff,6,0
8401355ffffffff,4,0
8401359ffffffff,6,0
840135bffffffff,3,0
840135dffffffff,6,0
8402907ffffffff,1,0
8402927ffffffff,2,0
8402931ffffffff,2,0
8402935ffffffff,1,0
8402937ffffffff,2,0
840293dffffffff,3,0
84029a1ffffffff,1,0
84029adffffffff,2,0
8406281ffffffff,4,0
8406283ffffffff,7,0
8406289ffffffff,6,0
840628bffffffff,6,0
840628dffffffff,1,0
8406291ffffffff,3,0
8406295ffffffff,3,0
8406297ffffffff,1,0
8406299ffffffff,4,0
840629dffffffff,6,0
84062b9ffffffff,1,0
84062c3ffffffff,3,0
84062cbffffffff,2,0
84062d1ffffffff,8,0
84062d3ffffffff,5,0
84062d5ffffffff,12,0
84062d7ffffffff,6,0
84062d9ffffffff,13,0
84062dbffffffff,2,0
84062ddffffffff,8,0
8406601ffffffff,16,0
8406603ffffffff,2,0
8406605ffffffff,5,0
8406607ffffffff,8,0
8406609ffffffff,20,0
840660bffffffff,4,0
840660dffffffff,20,0
8406621ffffffff,13,0
8406625ffffffff,3,0
8406627ffffffff,5,0
8406629ffffffff,8,0
840662bffffffff,5,0
840662dffffffff,21,0
840663dffffffff,5,0
8406641ffffffff,18,0
8406643ffffffff,5,0
8406645ffffffff,6,0
8406647ffffffff,22,0
8406649ffffffff,11,0
840664bffffffff,2,0
840664dffffffff,7,0
8406655ffffffff,3,0
840665dffffffff,1,0
8406661ffffffff,22,0
8406663ffffffff,8,0
8406665ffffffff,6,0
8406667ffffffff,21,0
8406669ffffffff,20,0
840666bffffffff,8,0
840666dffffffff,18,0
8406703ffffffff,3,0
840670bffffffff,5,0
8406713ffffffff,1,0
8406715ffffffff,13,0
8406717ffffffff,1,0
8406719ffffffff,1,0
840671dffffffff,38,0
8406739ffffffff,3,0
8406741ffffffff,1,0
8406743ffffffff,5,0
8406749ffffffff,4,0
840674bffffffff,14,0
8406751ffffffff,37,0
8406753ffffffff,1,0
