hex,count_good_aircraft,count_bad_aircraft
8401049ffffffff,2,0
840104bffffffff,2,0
8401051ffffffff,1,0
8401059ffffffff,1,0
840105bffffffff,1,0
840105dffffffff,2,0
8401201ffffffff,2,0
8401205ffffffff,1,0
8401207ffffffff,4,0
840120dffffffff,2,0
8401221ffffffff,3,0
8401225ffffffff,5,0
8401227ffffffff,5,0
8401229ffffffff,2,0
840122bffffffff,3,0
8401231ffffffff,2,0
8401233ffffffff,2,0
8401239ffffffff,2,0
840123dffffffff,1,0
8401245ffffffff,2,0
8401247ffffffff,2,0
8401261ffffffff,5,1
8401263ffffffff,3,0
8401265ffffffff,4,1
8401267ffffffff,4,0
8401269ffffffff,3,0
840126bffffffff,3,0
840126dffffffff,3,1
8401349ffffffff,2,0
840134bffffffff,2,0
840134dffffffff,1,0
8401351ffffffff,7,0
8401353ffffffff,3,0
8401355ffffffff,1,0
8401359ffffffff,7,1
840135bffffffff,6,0
840135dffffffff,8,0
8406601ffffffff,1,0
8406605ffffffff,16,0
8406609ffffffff,14,0
840660dffffffff,17,0
8406621ffffffff,20,0
8406625ffffffff,15,0
8406627ffffffff,12,0
8406629ffffffff,15,0
840662bffffffff,8,0
840662dffffffff,19,0
8406641ffffffff,5,0
8406643ffffffff,8,0
8406645ffffffff,11,0
8406647ffffffff,7,0
8406649ffffffff,4,0
840664dffffffff,8,0
8406661ffffffff,22,0
8406663ffffffff,11,0
8406665ffffffff,8,0
8406667ffffffff,18,0
8406669ffffffff,27,0
840666bffffffff,13,0
840666dffffffff,21,0
8406703ffffffff,6,0
8406711ffffffff,1,0
8406713ffffffff,1,0
8406715ffffffff,7,0
8406719ffffffff,1,0
840671dffffffff,31,0
8406739ffffffff,1,0
8406743ffffffff,3,0
8406749ffffffff,2,0
840674bffffffff,7,0
8406751ffffffff,35,0
8406753ffffffff,1,0
8406755ffffffff,1,0
8406757ffffffff,35,0
8406759ffffffff,34,0
840675bffffffff,6,0
840675dffffffff,3,0
8407411ffffffff,20,0
8407413ffffffff,14,0
8407415ffffffff,20,0
8407417ffffffff,21,0
8407419ffffffff,7,0
840741bffffffff,12,0
840741dffffffff,8,0
8407427ffffffff,1,0
8407431ffffffff,9,0
8407433ffffffff,70,0
8407435ffffffff,3,0
8407437ffffffff,22,0
8407439ffffffff,1,0
840743bffffffff,26,0
840743dffffffff,1,0
8407481ffffffff,6,0
8407485ffffffff,3,0
8407489ffffffff,8,0
840748bffffffff,1,0
840748dffffffff,1,0
84074a1ffffffff,8,0
84074a3ffffffff,2,0
84074a5ffffffff,5,0
84074a7ffffffff,7,0
84074a9ffffffff,5,0
84074abffffffff,7,0
84074adffffffff,5,0
84074bdffffffff,3,0
84074c1ffffffff,5,0
84074c3ffffffff,9,0
84074c5ffffffff,18,0
84074c7ffffffff,7,0
84074c9ffffffff,8,0
84074cdffffffff,17,0
84074d5ffffffff,7,0
84074ddffffffff,2,0
84074e1ffffffff,20,0
84074e3ffffffff,6,0
84074e5ffffffff,49,0
84074e7ffffffff,14,0
84074e9ffffffff,19,0
84074ebffffffff,9,0
84074edffffffff,41,0
8407581ffffffff,5,0
8407583ffffffff,22,0
8407585ffffffff,3,0
8407587ffffffff,8,0
8407589ffffffff,2,0
840758bffffffff,21,0
840758dffffffff,4,0
8407591ffffffff,22,0
8407593ffffffff,14,0
8407595ffffffff,47,0
8407597ffffffff,23,0
8407599ffffffff,30,0
840759bffffffff,12,0
840759dffffffff,47,0
84075a3ffffffff,1,0
84075abffffffff,1,0
84075b1ffffffff,11,0
84075b3ffffffff,38,0
84075b5ffffffff,8,0
84075b7ffffffff,7,0
84075b9ffffffff,21,0
84075bbffffffff,40,0
84075bdffffffff,14,0
84075c3ffffffff,3,0
84075c7ffffffff,4,0
84075cbffffffff,7,0
84075d1ffffffff,105,1
84075d3ffffffff,37,0
84075d5ffffffff,13,0
84075d7ffffffff,61,0
84075d9ffffffff,88,0
84075dbffffffff,63,0
84075ddffffffff,23,0
84075ebffffffff,2,0
84076a1ffffffff,5,0
84076a5ffffffff,10,0
84076a7ffffffff,9,0
84076a9ffffffff,1,0
84076adffffffff,7,0
8408001ffffffff,9,0
8408005ffffffff,7,0
8408007ffffffff,12,0
8408009ffffffff,3,0
840800bffffffff,9,0
840800dffffffff,8,0
8408021ffffffff,17,0
8408023ffffffff,26,0
8408025ffffffff,38,0
8408027ffffffff,29,0
8408029ffffffff,14,0
840802bffffffff,15,0
840802dffffffff,19,0
8408031ffffffff,20,0
8408033ffffffff,24,0
8408035ffffffff,39,0
8408037ffffffff,36,0
8408039ffffffff,14,0
840803bffffffff,17,0
840803dffffffff,17,0
8408043ffffffff,2,0
840804bffffffff,2,0
8408053ffffffff,10,0
8408057ffffffff,8,0
840805bffffffff,1,0
8408061ffffffff,7,0
8408063ffffffff,8,0
8408065ffffffff,2,0
8408067ffffffff,4,0
8408069ffffffff,1,0
840806bffffffff,4,0
840806dffffffff,7,0
8408101ffffffff,43,0
8408103ffffffff,4,0
8408105ffffffff,19,0
8408107ffffffff,3,0
8408109ffffffff,50,0
840810bffffffff,50,0
840810dffffffff,59,0
8408111ffffffff,1,0
8408113ffffffff,4,0
8408115ffffffff,2,0
8408117ffffffff,7,0
8408119ffffffff,32,0
840811dffffffff,4,0
8408121ffffffff,13,0
8408123ffffffff,8,0
8408125ffffffff,15,0
8408127ffffffff,5,0
8408129ffffffff,19,0
840812bffffffff,5,0
840812dffffffff,18,0
8408131ffffffff,7,0
8408133ffffffff,9,0
8408135ffffffff,5,0
8408137ffffffff,8,0
8408139ffffffff,8,0
840813bffffffff,11,0
840813dffffffff,12,0
8408141ffffffff,10,0
8408143ffffffff,34,0
8408145ffffffff,8,0
8408147ffffffff,30,0
8408149ffffffff,13,0
840814bffffffff,11,0
840814dffffffff,5,0
8408151ffffffff,56,0
8408153ffffffff,47,0
8408155ffffffff,44,0
8408157ffffffff,70,0
8408159ffffffff,12,0
840815bffffffff,15,0
840815dffffffff,23,0
8408161ffffffff,51,0
8408163ffffffff,51,0
8408165ffffffff,55,0
8408167ffffffff,52,0
8408169ffffffff,26,0
840816bffffffff,48,0
840816dffffffff,38,0
8408181ffffffff,4,0
8408183ffffffff,2,0
8408185ffffffff,5,0
8408187ffffffff,2,0
8408189ffffffff,6,0
840818bffffffff,2,0
840818dffffffff,2,0
8408193ffffffff,2,0
8408195ffffffff,3,0
8408197ffffffff,4,0
8408199ffffffff,4,0
840819bffffffff,2,0
84081a1ffffffff,6,0
84081a3ffffffff,3,0
84081a5ffffffff,4,0
84081a7ffffffff,4,0
84081a9ffffffff,3,0
84081abffffffff,4,0
84081adffffffff,3,0
84081b1ffffffff,2,0
84081b3ffffffff,3,0
84081b5ffffffff,3,0
84081b7ffffffff,3,0
84081b9ffffffff,3,0
84081bbffffffff,2,0
84081bdffffffff,2,0
84081c1ffffffff,1,0
84081c3ffffffff,3,0
84081c5ffffffff,6,0
84081c7ffffffff,4,0
84081c9ffffffff,28,0
84081cbffffffff,23,0
84081cdffffffff,1,0
84081d1ffffffff,3,0
84081d3ffffffff,1,0
84081d5ffffffff,6,0
84081d7ffffffff,4,0
84081d9ffffffff,34,0
84081dbffffffff,34,0
84081ddffffffff,21,0
84081e1ffffffff,3,0
84081e3ffffffff,2,0
84081e5ffffffff,3,0
84081e7ffffffff,3,0
84081e9ffffffff,4,0
84081ebffffffff,2,0
84081edffffffff,6,0
8408201ffffffff,2,0
8408203ffffffff,1,0
8408207ffffffff,2,0
8408209ffffffff,1,0
840820bffffffff,1,0
8408211ffffffff,1,0
8408213ffffffff,1,0
8408217ffffffff,1,0
8408219ffffffff,1,0
840821bffffffff,1,0
840821dffffffff,1,0
840822bffffffff,1,0
8408231ffffffff,1,0
8408235ffffffff,2,0
8408239ffffffff,1,0
840823dffffffff,1,0
8408243ffffffff,2,0
8408247ffffffff,1,0
8408251ffffffff,1,0
8408253ffffffff,1,0
8408255ffffffff,1,0
8408257ffffffff,1,0
8408259ffffffff,1,0
840825bffffffff,2,0
8408281ffffffff,1,0
8408283ffffffff,23,0
8408285ffffffff,2,0
8408287ffffffff,17,0
8408289ffffffff,3,0
840828bffffffff,2,0
840828dffffffff,1,0
8408291ffffffff,34,0
8408293ffffffff,35,0
8408295ffffffff,33,0
8408297ffffffff,35,0
8408299ffffffff,18,0
840829bffffffff,39,0
840829dffffffff,21,0
84082a1ffffffff,17,0
84082a3ffffffff,26,0
84082a5ffffffff,18,0
84082a7ffffffff,26,0
84082a9ffffffff,5,0
84082abffffffff,16,0
84082adffffffff,8,0
84082b1ffffffff,37,0
84082b3ffffffff,5,0
84082b5ffffffff,32,0
84082b7ffffffff,3,0
84082b9ffffffff,33,0
84082bbffffffff,37,0
84082bdffffffff,28,0
84082c3ffffffff,1,0
84082c5ffffffff,1,0
84082cbffffffff,1,0
84082cdffffffff,1,0
84082d1ffffffff,3,0
84082d3ffffffff,2,0
84082d5ffffffff,3,0
84082d7ffffffff,1,0
84082d9ffffffff,1,0
84082dbffffffff,1,0
84082e1ffffffff,1,0
84082e3ffffffff,2,0
84082e5ffffffff,1,0
84082e7ffffffff,1,0
84082e9ffffffff,1,0
84082ebffffffff,1,0
84082edffffffff,1,0
8408301ffffffff,6,0
8408303ffffffff,6,0
8408305ffffffff,5,0
8408307ffffffff,3,0
8408309ffffffff,1,0
840830bffffffff,8,0
840830dffffffff,2,0
8408311ffffffff,5,0
8408313ffffffff,1,0
8408315ffffffff,4,0
8408317ffffffff,3,0
8408319ffffffff,5,0
840831bffffffff,3,0
840831dffffffff,5,0
8408321ffffffff,11,0
8408323ffffffff,13,0
8408325ffffffff,16,0
8408327ffffffff,14,0
