hex,count_good_aircraft,count_bad_aircraft
8400ee1ffffffff,1,0
8401051ffffffff,1,0
8401055ffffffff,1,0
8401059ffffffff,1,0
840124dffffffff,1,0
8401263ffffffff,1,0
8401267ffffffff,1,0
8401301ffffffff,7,1
8401309ffffffff,3,1
840130dffffffff,4,2
8401329ffffffff,1,0
8401345ffffffff,2,0
8401347ffffffff,3,2
8401359ffffffff,1,0
840135bffffffff,3,0
8401361ffffffff,1,1
8401363ffffffff,1,0
8401369ffffffff,1,1
840136bffffffff,1,0
8401b41ffffffff,0,1
8403553ffffffff,0,1
8404809ffffffff,10,0
840480dffffffff,10,0
8404821ffffffff,2,0
8404825ffffffff,2,0
840482dffffffff,2,0
8404841ffffffff,1,0
8404845ffffffff,1,0
8404849ffffffff,1,0
840484bffffffff,1,0
840484dffffffff,1,0
8404851ffffffff,10,0
8404853ffffffff,10,0
8404855ffffffff,10,0
840485bffffffff,10,0
8404861ffffffff,12,0
8404863ffffffff,10,0
8404865ffffffff,10,0
8404867ffffffff,12,0
8404869ffffffff,2,0
8404949ffffffff,1,0
8404959ffffffff,10,0
840495bffffffff,10,0
840495dffffffff,8,0
8404a31ffffffff,1,0
8404a33ffffffff,1,0
8404a35ffffffff,1,0
8404a37ffffffff,1,0
8404a3bffffffff,1,0
8404a65ffffffff,2,0
8404a85ffffffff,3,0
8404aa9ffffffff,10,0
8404aadffffffff,10,0
8404ac5ffffffff,1,0
8404ae7ffffffff,10,0
8404ae9ffffffff,1,0
8404aedffffffff,1,0
8404b11ffffffff,2,0
8404b13ffffffff,3,0
8404b17ffffffff,3,0
8404b19ffffffff,2,0
8404b21ffffffff,1,0
8404b23ffffffff,2,0
8404b25ffffffff,1,0
8404b27ffffffff,1,0
8404b29ffffffff,1,0
8404b31ffffffff,1,0
8404b3bffffffff,1,0
8404b3dffffffff,1,0
8404b53ffffffff,2,0
8404b59ffffffff,2,0
8404b5bffffffff,2,0
8404b61ffffffff,1,0
8404b63ffffffff,1,0
8404b69ffffffff,1,0
8405995ffffffff,2,0
840599dffffffff,2,0
84059b3ffffffff,2,0
84059bbffffffff,2,0
84059d1ffffffff,2,0
84059d5ffffffff,2,0
84059d7ffffffff,2,0
84059ddffffffff,2,0
8406283ffffffff,3,0
8406289ffffffff,3,0
840628bffffffff,3,0
8406291ffffffff,2,0
8406295ffffffff,2,0
8406297ffffffff,1,0
8406299ffffffff,2,0
840629dffffffff,1,0
84062b9ffffffff,2,0
84062bbffffffff,2,0
84062c3ffffffff,2,0
84062cbffffffff,2,0
84062d1ffffffff,3,0
